page,excessive_white_space,tiny_centered_visual,repeated_content,status
1,False,False,False,pass
2,False,False,False,pass
3,False,False,False,pass
4,False,False,False,pass
5,False,False,False,pass
6,False,False,False,pass
7,False,False,False,pass
8,False,False,False,pass
9,False,False,False,pass
10,False,False,False,pass
11,False,False,False,pass
12,False,False,False,pass
13,False,False,False,pass
14,False,False,False,pass
15,False,False,False,pass
16,False,False,False,pass
17,False,False,False,pass
18,False,False,False,pass
19,False,False,False,pass
20,False,False,False,pass
21,False,False,False,pass
22,False,False,False,pass
23,False,False,False,pass
24,False,False,False,pass
25,False,False,False,pass
26,False,False,False,pass
27,False,False,False,pass
28,False,False,False,pass
29,False,False,False,pass
30,False,False,False,pass
31,False,False,False,pass
32,False,False,False,pass
33,False,False,False,pass
34,False,False,False,pass
35,False,False,False,pass
36,False,False,False,pass
37,False,False,False,pass
38,False,False,False,pass
39,False,False,False,pass
40,False,False,False,pass
41,False,False,False,pass
42,False,False,False,pass
43,False,False,False,pass
44,False,False,False,pass
45,False,False,False,pass
46,False,False,False,pass
47,False,False,False,pass
48,False,False,False,pass
49,False,False,False,pass
50,False,False,False,pass
51,False,False,False,pass
52,False,False,False,pass
53,False,False,False,pass
54,False,False,False,pass
55,False,False,False,pass
56,False,False,False,pass
57,False,False,False,pass
58,False,False,False,pass
59,False,False,False,pass
60,False,False,False,pass
