page,text_characters,expected_native_text,native_text_present,status
1,472,True,True,pass
2,1334,True,True,pass
3,1164,True,True,pass
4,1266,True,True,pass
5,1647,True,True,pass
6,682,True,True,pass
7,758,True,True,pass
8,716,True,True,pass
9,671,True,True,pass
10,1889,True,True,pass
11,1928,True,True,pass
12,1928,True,True,pass
13,1814,True,True,pass
14,1712,True,True,pass
15,1972,True,True,pass
16,1821,True,True,pass
17,1846,True,True,pass
18,569,True,True,pass
19,581,True,True,pass
20,608,True,True,pass
21,503,True,True,pass
22,622,True,True,pass
23,985,True,True,pass
24,879,True,True,pass
25,2218,True,True,pass
26,2307,True,True,pass
27,2204,True,True,pass
28,2226,True,True,pass
29,1420,True,True,pass
30,1510,True,True,pass
31,1536,True,True,pass
32,1718,True,True,pass
33,762,True,True,pass
34,1166,True,True,pass
35,1111,True,True,pass
36,1174,True,True,pass
37,1264,True,True,pass
38,1132,True,True,pass
39,1180,True,True,pass
40,846,True,True,pass
41,1043,True,True,pass
42,778,True,True,pass
43,1419,True,True,pass
44,1270,True,True,pass
45,928,True,True,pass
46,755,True,True,pass
47,792,True,True,pass
48,874,True,True,pass
49,1420,True,True,pass
50,1410,True,True,pass
51,1339,True,True,pass
52,1337,True,True,pass
53,1311,True,True,pass
54,1241,True,True,pass
55,1289,True,True,pass
56,1313,True,True,pass
57,1033,True,True,pass
58,1018,True,True,pass
59,1178,True,True,pass
60,1201,True,True,pass
