page,repeated_text,status
1,False,pass
2,False,pass
3,False,pass
4,False,pass
5,False,pass
6,False,pass
7,False,pass
8,False,pass
9,False,pass
10,False,pass
11,False,pass
12,False,pass
13,False,pass
14,False,pass
15,False,pass
16,False,pass
17,False,pass
18,False,pass
19,False,pass
20,False,pass
21,False,pass
22,False,pass
23,False,pass
24,False,pass
25,False,pass
26,False,pass
27,False,pass
28,False,pass
29,False,pass
30,False,pass
31,False,pass
32,False,pass
33,False,pass
34,False,pass
35,False,pass
36,False,pass
37,False,pass
38,False,pass
39,False,pass
40,False,pass
41,False,pass
42,False,pass
43,False,pass
44,False,pass
45,False,pass
46,False,pass
47,False,pass
48,False,pass
49,False,pass
50,False,pass
51,False,pass
52,False,pass
53,False,pass
54,False,pass
55,False,pass
56,False,pass
57,False,pass
58,False,pass
59,False,pass
60,False,pass
