path,bytes,sha256
docs/dashboard/public/reports/gabriel_wages_visual_atlas_revised_2026-08-06/gabriel_wages_visual_atlas_revised_2026-08-06.pdf,7483415,46608bb50eaf0dee046f85629c92210472b96777b5e8a048e49b8a52059fe247
docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/revised_PDF_page_plan.csv,3542,b6ec908294497d41d9bfea8b21fca6e4f1dd4ce9a90c2003b4ded1b4c93c85e1
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/final_adjudicated_claim_table.jsonl,73834,deec42071c88185711efe0e0d07275a000a9a212ad97f02c1b2e2c774d987649
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-INTEGRATION-AND-CLAIM-ADJUDICATION-2026-08-06/claim_counterexample_links.jsonl,5572,5ce5debea8a631e5f650acf91be2da32b1a8718b909458e7689613dfbf812632
docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/integrated_mechanism_profile_plan.jsonl,20210,51167c7c934319b6d52a46b0512d300d4227cc9e15558cc2d73f908774d47aac
docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/reader_facing_mechanism_registry.jsonl,27752,405685d70965e654518968744dd3b220f4102812246158e1418c73bef8d7f398
docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/evidence_status_category_registry.jsonl,2346,2115688ad31a448d0702a4bd750327383e40c5c448d235961619f243cd1e2596
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/mechanism_exposure_event_layer.jsonl,8761940,633aafaf18d4ef87dccbdc5e052e9d79ffcab0d6fda0320cfceb6068f95f2c75
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-TARGETED-HOSTED-SEARCH-SCOUT-2026-08-04/municipality_geographic_crosswalk.jsonl,810134,cc7e7c1b119b0aa4e6d0c2a3dcbab8dad5704beeff0fe56161c82a6f117efc8e
docs/dashboard/src/assets/us-states-2025-20m.geojson,293563,31715da6d14711893c54bff23bdd57c1817ad646a1686ca925d79857254ecb37
docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv,2189,f83323c764aec1e5b5cc1ddd46fd79e9871bde5c53156b88af613fe8eafb32b7
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-PACKAGE-PREP-2026-08-03/claim_examples.csv,126965,2fb94f066bcbb687f225fa35ce983cdbbe8db3d4608c7bfafdc32b13c2f9da87
