page,path,width,height,blank,content_bbox,duplicate_title,clipping,legend_overlap,axis_overlap,alaska_status,text_complete,resolution,white_space_use,theme_consistency,status,repair_action
1,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-01.png,3300,2550,False,"(0, 0, 3021, 2550)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
2,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-02.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
3,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-03.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
4,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-04.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
5,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-05.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
6,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-06.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
7,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-07.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
8,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-08.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
9,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-09.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
10,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-10.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
11,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-11.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
12,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-12.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
13,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-13.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
14,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-14.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
15,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-15.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
16,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-16.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
17,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-17.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
18,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-18.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
19,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-19.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
20,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-20.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
21,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-21.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
22,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-22.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
23,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-23.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
24,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-24.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
25,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-25.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
26,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-26.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
27,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-27.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
28,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-28.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
29,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-29.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
30,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-30.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
31,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-31.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
32,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-32.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
33,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-33.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
34,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-34.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
35,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-35.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
36,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-36.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
37,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-37.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
38,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-38.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
39,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-39.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
40,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-40.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
41,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-41.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
42,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-42.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
43,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-43.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
44,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-44.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
45,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-45.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
46,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-46.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
47,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-47.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
48,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-48.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
49,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-49.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
50,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-50.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
51,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-51.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
52,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-52.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
53,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-53.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
54,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-54.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
55,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-55.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
56,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-56.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
57,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-57.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
58,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-58.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
59,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-59.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
60,artifacts/local_structured_external_data/gabriel_wages_visual_atlas_final_2026-08-06/rendered_pages_300dpi/page-60.png,3300,2550,False,"(0, 0, 3300, 2477)",False,False,False,False,not_applicable_or_explicit,True,300_DPI,pass,True,pass,none
