qualitative_mechanism_family,linked_pair_count,linked_quantitative_row_count,linked_qualitative_record_count,direct_text_colocation_claim,documentary_mechanism_value_scaffold,provisional_mechanism_linkage_claim,insufficient_for_claim,not_allowed
implementation_or_retroactivity_advantage,126,110,40,0,31,7,88,0
automatic_raise_mechanism,97,86,31,14,47,14,22,0
non_base_compensation_signal,15,15,6,1,0,5,9,0
rank_or_specialization_premium,13,13,6,0,0,6,7,0
market_or_comparability_pressure,9,9,4,0,2,0,7,0
bargaining_power_signal,5,5,2,0,0,0,5,0
fiscal_constraint_signal,3,3,1,0,0,0,3,0
strike_or_no_strike_constraint,0,0,0,0,0,0,0,0
non_safety_constraint_signal,0,0,0,0,0,0,0,0
parity_or_internal_equity_signal,0,0,0,0,0,0,0,0
gap_narrowing_signal,0,0,0,0,0,0,0,0
