retained_source_id,candidate_id,file_sha256,file_size_bytes,local_retained_path,duplicate_file_group_id
RS429-b5746b6861227d32994b,TS4L-0598ecac2f25d6416ba6,93a09c3d2adeccbb07d31a08ecbdc95b6d87cfb49aa7cf0ebc08717a162c867d,583743,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-b5746b6861227d32994b.pdf,
RS429-23604e91ded43eaad9c1,TS4L-094708a83d131ff8adf8,e1d46ee253498cb89f7ef0b91b79cbc21f875142139f95d84dd752063795995f,916495,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-23604e91ded43eaad9c1.pdf,
RS429-5140910d25ffa73549f5,TS4L-0f6866242602749c909b,a71ca11111d9cb785251a6b7d9acae06bb300487b36d97924278f343b90e27e7,228498,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5140910d25ffa73549f5.pdf,
RS429-5c8283f8962e745d3d52,TS4L-0f8872dd903f807cd4a3,7b15c8cf306c4d15d453334d80b8a71c09189652557d865735338aad33f18b58,10106943,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5c8283f8962e745d3d52.pdf,
RS429-bd959d6f7902a64eede8,TS4L-0ffd423d1376a86041e9,7afdae0cfce96ac2c9f5a5483042bdb604bd0d78fcae6232fb602f45a605eb5c,5506793,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-bd959d6f7902a64eede8.pdf,
RS429-67fb23baabac726cc643,TS4L-1171084bf3acbe24f755,e083d7f66b5df690e850a4d901d76b58817373bb62ee1e2a151da69f62cfbdbc,1566004,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-67fb23baabac726cc643.pdf,
RS429-ac99fe85a7e656da3337,TS4L-1a0e5b3c433cce724c7f,5215019f9f8da777def782b4afd5bc74ea97aed159bea05304d4683d3c457933,815001,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ac99fe85a7e656da3337.pdf,
RS429-c6b3e750aec1ce3b3f3a,TS4L-1a77530f2029d1a726f5,f494ac7648ab77ac38d3f9293c986ef91cb073fbdf5ace1fdf71c5aeb836c4f5,567367,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c6b3e750aec1ce3b3f3a.pdf,
RS429-f8cfd134c8273e95ec28,TS4L-1d4b842141e9480b0583,c5969261926f945d1ae513e2d4d8e76f0b7bd76970650c7ff0cd61ee36fc6706,547177,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-f8cfd134c8273e95ec28.pdf,
RS429-64c5272734c785fef27b,TS4L-22335d48391953a324b5,be0f63a4a25aa6ced8592f524b89d6d77812756218b5666596e10534e970824f,3542175,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-64c5272734c785fef27b.pdf,
RS429-96fd25f51a2d7c67efaa,TS4L-2345ca6981381672e4d5,66459ff79cb2e928325ba131f9d3cb412f3b93f10d217e0995bf6f8817d50ce1,1086484,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-96fd25f51a2d7c67efaa.pdf,
RS429-0fdd483045f8e4450d41,TS4L-28cea38d600b12352ef4,9ba405660baec149d3dc087030e6f67bbefa21979741353d24c3bce4b9e9a449,619449,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-0fdd483045f8e4450d41.pdf,
RS429-c4aed8253f1034ac5639,TS4L-2a13f12fe46f8f072a92,0eccf0c3d93a573db376d43aaa5070b87475ff124b290fa294cdbba769421d68,1913022,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c4aed8253f1034ac5639.pdf,
RS429-72e2189c682277e151ba,TS4L-3152ebe74c568550d0c8,5d05dca0f5dfb48c1e689cbcfc1f9cb197d32687a6d7090fd301697ee5014fe4,910155,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-72e2189c682277e151ba.pdf,
RS429-c9bdc5d41231e3c2fa3f,TS4L-3196738fb25bf3391a90,6614f1deca7adfb37708b276e8cc8e384aef4e564181870af76fd1b94a89e787,805384,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c9bdc5d41231e3c2fa3f.pdf,
RS429-b067f188411cb379ab12,TS4L-3dd781f1891673a0be1f,66a474ca73f6f4d210c9f5f129691e5dae77c209bae50e86d24fbdbec38df374,1366616,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-b067f188411cb379ab12.pdf,
RS429-5e7ef8d45de1713f083d,TS4L-446ccf50e393a7173a58,3d69a5eddf095fc7f507170b12691ea4ab6805e46192bcaa5d45872b860b9ca5,603149,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5e7ef8d45de1713f083d.pdf,
RS429-e9d20f49d33b80d24f0e,TS4L-484473bc94e0578dae56,ebf287a4392bf0150ff386281af96ae78bf11bba1a827f30cc127a75e83f7a1e,6184011,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-e9d20f49d33b80d24f0e.pdf,
RS429-97b0c1bfdd4ecdc400ef,TS4L-4a9cba00da47bbd008a6,70c140f803bed24be3bfea7a435d9fe8de13d52413d90cc90f22b04c682d6e06,835330,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-97b0c1bfdd4ecdc400ef.pdf,
RS429-457c325232d270b4f8c4,TS4L-4d77853982adfb6e38d9,fa13e9b5d2c18822c58174b37ea324be3b98eabe8c7c2718e824a763ba81ce5c,1573241,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-457c325232d270b4f8c4.pdf,
RS429-9e2eee763e63279405ab,TS4L-55bc47b7d0349ccd5d41,608f711c70bcb2ea7198e834d5605285ab6b39860be352cfdf7cc6e713ff7939,5319354,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-9e2eee763e63279405ab.pdf,
RS429-ccd05089fdf37c6612b7,TS4L-5a1cef80103df8d43929,ae233a5bd426c6a0c100f9b685d2fb4c195fe2fd85fe9d1d7a83225643166340,3853185,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ccd05089fdf37c6612b7.pdf,
RS429-35a81f9f96d2922af1a3,TS4L-5bd718d79151d037d9b5,332fa0586dac2234457c421dcfce562aec885cd635bf411af922d924ad3069ec,2177886,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-35a81f9f96d2922af1a3.pdf,
RS429-20a594e247c8da14f0f9,TS4L-5ef86fb33f6b59e69dfa,ce7517eb3e5e36f094c58d8afc652ae675ac1c85223d0d5c85a29523dd308b0f,25322044,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-20a594e247c8da14f0f9.pdf,
RS429-f344d0fca0fde4ccebd8,TS4L-63f603be0d80a5ca2a39,754ced64d509951309f98a0bbdecbafe10308e55e9ebf50e462f45a3fe78493b,1501740,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-f344d0fca0fde4ccebd8.pdf,
RS429-6a4963bcf8bf12c0bb21,TS4L-694ca99c1ea9ca72985c,c0b1d47df58c08c6c294b133f067a03e4fefc94a7c7086661087d1272adf6839,9538122,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-6a4963bcf8bf12c0bb21.pdf,
RS429-a32e1bbf829b492e6776,TS4L-719616376983f41c6386,badf0dc0e36abb419e95b20ce2e27c968fab5f8da602c355eda3596347e36573,6476016,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-a32e1bbf829b492e6776.pdf,
RS429-82ba1dca230067f43810,TS4L-721ebf2deeee8795e415,6b5593e8d95d87457e884d7525d121c3f65cc1e2b7d987661d14bdafd136ba13,10846544,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-82ba1dca230067f43810.pdf,
RS429-ef00eb7a9a982c36fdd6,TS4L-734c4413f1b5547f379b,486a6e1911197d1f43cee97b323d867df30fcb8a9c7b1172b54cf5965866081f,1790919,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ef00eb7a9a982c36fdd6.pdf,
RS429-ed261fb6a8bc489b2ac9,TS4L-768de0c44b0f30af9f0c,bdcc63c4cf3628a6505661fe213c7870b0455969fd5ab13edad2517f6b7b4583,460607,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ed261fb6a8bc489b2ac9.pdf,
RS429-5c3b4665133b7d1f5c4c,TS4L-781cd7f955d0788748d6,207ee1ea0c846f71c98f1c4c0485998107cf8f91e0edc49b78fd5730e02786d5,10465147,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5c3b4665133b7d1f5c4c.pdf,
RS429-c7b3e53a18bad332a3c5,TS4L-7d9210bd56b859bcbef5,7e251e3c1b3385a284e91f492a2ef94ab18b71020586b27f3b51f637e43d7c0e,1039204,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c7b3e53a18bad332a3c5.pdf,
RS429-89e6df22518a1f375a43,TS4L-8d16c4dbec489d3148e4,43eda470c5b79a311e96195586ae1b3289dd37ecd91a5c868d95050162ce4764,1459465,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-89e6df22518a1f375a43.pdf,
RS429-7e46e02bbbc0921aa433,TS4L-910e7bcdeae0cbacf46a,8c100394b6467bb7eb79eb8e88815bee8a0d84fa5ce7d2a414d02a732f94913f,16959858,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-7e46e02bbbc0921aa433.pdf,
RS429-75d8e3bf87260b417bcd,TS4L-92c43d5c16351d92e907,ca1a2caaaa47b7785ba522948c05b038e93d94c50efc81f1261d5102d213431c,882915,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-75d8e3bf87260b417bcd.pdf,
