state,municipality,unit_type,contract_or_document_period,download_queue_rows,retained_sources,coverage_status
AK,Ketchikan,non_safety_comparator,7/1/2025 – 6/30/2028,2,2,retained_source_not_ingested
AL,Birmingham,non_safety_comparator,"2022–(salary schedule references July 1, 2022 – June 30, 2025 in document text)",1,0,no_retained_source_in_tier_a_b
AL,Birmingham,non_safety_comparator,2024–2026,1,1,retained_source_not_ingested
AL,Calera,non_safety_municipal_units,2023-2024,1,1,retained_source_not_ingested
AL,Fort Payne,safety_and_non_safety_compensation_units,"2014 (policy adopted June 3, 2014)",1,1,retained_source_not_ingested
AL,Hartselle,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,retained_source_not_ingested
AL,Hueytown,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,retained_source_not_ingested
AL,Irondale,safety_and_non_safety_compensation_units,"2022 (Resolution 2022-R-121; compensation increase beginning Oct 5, 2022)",1,1,retained_source_not_ingested
AZ,Chandler,non_safety_comparator,"2021–2024 (pay scale effective October 1, 2024 referenced inside document)",1,1,retained_source_not_ingested
AZ,Chandler,non_safety_comparator,"Includes references to contracts effective July 1, 2024 through June 30, 2026 (and related FY2024-25 compensation detail)",1,0,no_retained_source_in_tier_a_b
CA,California City,safety_and_non_safety_compensation_units,2019-dated MOU (exact start/end to be confirmed via document contents),1,1,retained_source_not_ingested
CA,California City,safety_and_non_safety_compensation_units,FY 2023-2024 (salary schedule),1,1,retained_source_not_ingested
CA,El Segundo,safety_and_non_safety_compensation_units,"October 1, 2014 – September 30, 2018",1,1,retained_source_not_ingested
CA,El Segundo,safety_and_non_safety_compensation_units,"October 1, 2018 – September 30, 2021",1,1,retained_source_not_ingested
CA,Inglewood,non_safety_comparator,"July 1, 2022 – June 30, 2025",1,1,retained_source_not_ingested
CA,Laguna Woods,safety_and_non_safety_compensation_units,MOU effective/enforceable 2017 (exact term not extracted here),1,1,retained_source_not_ingested
CA,Laguna Woods,safety_and_non_safety_compensation_units,"References 09/06/2016 approval and impacts to FY 2016-17, FY 2017-18, and FY 2018-19 budget projections (exact MOU term not extracted here)",1,1,retained_source_not_ingested
CA,Pinole,non_safety_municipal_units,FY 2023/2024 (budget cycle),1,1,retained_source_not_ingested
CA,Pinole,non_safety_municipal_units,"July 1, 2023 to June 30, 2025",1,1,retained_source_not_ingested
CA,Sunnyvale,non_safety_comparator,"July 1, 2022 to June 30, 2026",1,1,retained_source_not_ingested
CO,Aurora,non_safety_comparator,2023 - 2024,2,0,no_retained_source_in_tier_a_b
CO,Aurora,non_safety_comparator,Referenced salary impacts include 2023-2024 and 2024-2025,1,1,retained_source_not_ingested
CO,Castle Pines,safety_and_non_safety_compensation_units,2019 Budget Book,1,1,retained_source_not_ingested
CO,Castle Pines,safety_and_non_safety_compensation_units,2020 Budget (proposed/adopted budget book; contains 2020 staffing/compensation sections),1,1,retained_source_not_ingested
CO,Castle Pines,safety_and_non_safety_compensation_units,2024 Annual Budget,1,1,retained_source_not_ingested
CO,Englewood,safety_and_non_safety_bargaining_units,"January 1, 2020 – December 31, 2022",1,1,retained_source_not_ingested
