candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status
TS4L-0598ecac2f25d6416ba6,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-CON-02-0442.pdf,Collective Bargaining Agreement — Bucyrus City School District (BUCYRUS ORGANIZATION OF SUPPORT STAFF) 2024-2025 WAGE RATE SCHEDULES,Bucyrus,OH,non_safety_comparator,"School district support staff (e.g., aides, bus drivers, custodial/cafeteria categories as indicated by wage schedule headings in snippet)",Bucyrus Organization of Support Staff (as referenced in document title),2024-2025 (school district agreement),2024-01-01,2025-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city (Bucyrus) inferred from document title,"partial overlap with expected period (covers 2024-2025, not 2026)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-094708a83d131ff8adf8,lane_1,tier_a,verification_ready_high,https://files.pseofwa.org/onlinecontracts/Ephrata%20CBA.pdf,COLLECTIVE BARGAINING AGREEMENT BETWEEN (Ephrata PSE / Ephrata School District #165) — PDF,Ephrata,PA,non_safety_comparator,School district support staff (classified/paraprofessional-related bargaining unit implied by PSE/Ephrata School District pairing),Ephrata PSE / Ephrata School District #165 (as named in source title/snippet),2023-2027 (document snippet indicates successor coverage including 2027; targeted timeframe intersects 2023-2027),2023-01-01,2027-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city_match_found (Ephrata, PA)","overlaps_expected_period_uncertain (source indicates multi-year coverage including 2027, but exact start/end dates not extracted here)",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-0f6866242602749c909b,lane_1,tier_a,verification_ready_high,https://www.fallrivereducators.org/uploads/1/3/2/5/132515094/frea_unit_c_2017-20.pdf,FREA Unit C Agreement (2017–2020) — Fall River Educators Association,Fall River,MA,non_safety_comparator,Teachers / education bargaining unit (Unit C),Fall River Educators Association — Unit C,2017-20,2017,2020,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city=True (Fall River),unknown_overlap_cycle,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-0f8872dd903f807cd4a3,lane_1,tier_a,verification_ready_high,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3220/BCSD/2847216/CSEA_Sides___Monitors_Contract_2022-2025.pdf,CSEA Sides & Monitors Contract — 2022-2025 (Binghamton City School District),Binghamton,NY,non_safety_comparator,Non-teaching school district aides/monitors (CSEA Unit 6157-02),CSEA Unit 6157-02 (Aides and Monitors; listed titles include aides/monitors and related roles),"July 1, 2022 - June 30, 2025 (as labeled in document metadata/snippet context)",2022-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Likely same-city (Binghamton City School District),Overlaps expected period (covers 2022-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-0ffd423d1376a86041e9,lane_1,tier_a,verification_ready_high,https://seiu73.org/wp-content/uploads/2021/08/Lake-in-the-Hills-Public-Works-Jan-1-2018-Dec-31-2022.pdf,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2018 – Dec 31, 2022) [PDF]",Lake in the Hills,IL,non_safety_comparator,Public Works (laborers/utilities/water operations) – SEIU Local 73 bargaining unit,"S.E.I.U., Local 73 (Public Works employees bargaining unit)","January 1, 2018 – December 31, 2022",2018-01-01,2022-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_2020-2023,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-1171084bf3acbe24f755,lane_1,tier_a,verification_ready_high,https://www.orangecityfl.gov/files/teamsters-contract.pdf,"COLLECTIVE BARGAINING AGREEMENT (Orange City) — Teamsters contract (Fiscal Years 2023/24, 2024/25, 2025/26)",Orange City,FL,non_safety_comparator,Non-safety (bargaining unit referenced as “Teamsters”),Teamsters (Orange City bargaining unit),"Fiscal Years 2023/24, 2024/25, 2025/26",2023-10-01,2026-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Orange City, FL)",overlaps expected fiscal years (2023/24–2025/26),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded
TS4L-1a0e5b3c433cce724c7f,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-03-0176.pdf,"Collective Bargaining Agreement (City of Middletown, Ohio) — SERB contract PDF 19-MED-03-0176",Middletown,OH,non_safety_comparator,Municipal employees (bargaining unit terms not extracted; source indicates City of Middletown CBA/MOA),Not extracted (City of Middletown bargaining unit; contract parties shown in PDF),"July 1, 2019 – June 30, 2022",2019-11-01,2021-10-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Exact municipality match (Middletown, OH) based on source title/snippet","Overlaps expected period (Nov 1, 2018 – Oct 31, 2021) from part of 2019–2021",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-1a77530f2029d1a726f5,lane_1,tier_a,verification_ready_high,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/3220/BCSD/4146016/CSEA_Non_Teaching_contract_2023-2026_signed_ready_fro_print.pdf,"CSEA Non-Teaching Unit 6157 Agreement (signed) — July 1, 2023 to June 30, 2026 (Binghamton City School District)",Binghamton,NY,non_safety_comparator,Non-teaching school district employees (CSEA Local 1000; Unit 6157),"CSEA, LOCAL 1000 AFSCME, AFL-CIO — Non-Teaching Unit 6157 (Broome County Educational Local 866)","July 1, 2023 - June 30, 2026",2023-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Likely same-city (Binghamton City School District),Overlaps expected period (covers 2023-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:08Z,verified_source_lead_not_downloaded
TS4L-1d4b842141e9480b0583,lane_1,tier_a,verification_ready_high,https://profiles.doe.mass.edu/statereport/educatorcontractsdownload.aspx?orgcode=01680000&type=T,Massachusetts DESE Educator Contracts download (Newton Unit A – 2015–2018),Newton,MA,non_safety_comparator,Teachers (Unit A) (inferred from type=T / Unit A label),"Newton School Committee / Newton Teachers Association (NTA), Unit A","September 1, 2015 – August 31, 2018",2015,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city_expected,covers_expected_period_2015_2018,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:30:59Z,verified_source_lead_not_downloaded
TS4L-22335d48391953a324b5,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-01-0071.pdf,"Collective Bargaining Agreement (City of Oxford, OH; SERB-hosted; agreement states effective Jan 1, 2021 after three (3) year contract effective date language)",Oxford,OH,non_safety_comparator,Police-related bargaining unit (exact role categories not confirmed from snippet),Oxford (non-specified in snippet; SERB PDF title/context indicates City of Oxford bargaining agreement),"three (3) year contract effective January 1, 2021 (end date not confirmed from snippet)",2021-01-01,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_part_of_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:05Z,verified_source_lead_not_downloaded
