candidate_id,lane_id,priority_tier,verification_status,dry_run_status,live_download_status,pdf_page_access_planned,text_extraction_planned,ocr_planned
TS4L-0598ecac2f25d6416ba6,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-094708a83d131ff8adf8,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0f6866242602749c909b,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0f8872dd903f807cd4a3,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0ffd423d1376a86041e9,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1171084bf3acbe24f755,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1a0e5b3c433cce724c7f,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1a77530f2029d1a726f5,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1d4b842141e9480b0583,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-22335d48391953a324b5,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-2345ca6981381672e4d5,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-246beb7c50a2ceccb32b,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-28cea38d600b12352ef4,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-2a13f12fe46f8f072a92,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-3152ebe74c568550d0c8,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-3196738fb25bf3391a90,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-3dd781f1891673a0be1f,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-446ccf50e393a7173a58,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-484473bc94e0578dae56,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-4a9cba00da47bbd008a6,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-4d77853982adfb6e38d9,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-4ebac999a9a820cc3540,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-55bc47b7d0349ccd5d41,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-5a1cef80103df8d43929,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-5bd718d79151d037d9b5,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-5ef86fb33f6b59e69dfa,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-63f603be0d80a5ca2a39,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-694ca99c1ea9ca72985c,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-719616376983f41c6386,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-721ebf2deeee8795e415,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-734c4413f1b5547f379b,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-768de0c44b0f30af9f0c,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-781cd7f955d0788748d6,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-7d9210bd56b859bcbef5,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-8d16c4dbec489d3148e4,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-910e7bcdeae0cbacf46a,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-92c43d5c16351d92e907,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-9a09c3613e16d8a97593,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-a1f72c7eaac5c376d84f,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-a9b0c5cebd4af19c46d1,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-aa5970f8ec6daa115fe6,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-ab2835f9a40702ccca9d,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-b2fef76c51996bf48d5f,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-c02b04de6ef106a65708,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-c6f811af184d68979d52,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-cd5e61e5bdf5b3f61ef8,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-d552f7b4169c3ff4217d,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-eed5bbf802bf4ab2e768,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-ef525a87b5ef8a9814a0,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-fe036995dc9dff8e03b3,lane_1,tier_a,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-007dbad731d5396346d8,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-01e4b54028e3ddedf6a7,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-02a4d3fce9c67c79378c,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-03304781c9163016bed0,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-04462a16b388e3c06ec4,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0747cbb350fcb4663219,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0c36220e2a172042f55b,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0ce7b03152197ce5c276,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-168fbe9c99507706d055,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1818beaf93ad4bcb2fb2,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1c21ec7767f32219c3de,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1d85817a3c8ea5a05a56,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1f781adb207e35bd1c5f,lane_1,tier_b,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
