retained_source_id,candidate_id,lane_id,source_title,municipality,state,source_family,target_mechanism_family,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
RS429-b5746b6861227d32994b,TS4L-0598ecac2f25d6416ba6,lane_1,Collective Bargaining Agreement — Bucyrus City School District (BUCYRUS ORGANIZATION OF SUPPORT STAFF) 2024-2025 WAGE RATE SCHEDULES,Bucyrus,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,583743,93a09c3d2adeccbb07d31a08ecbdc95b6d87cfb49aa7cf0ebc08717a162c867d,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-b5746b6861227d32994b.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-23604e91ded43eaad9c1,TS4L-094708a83d131ff8adf8,lane_1,COLLECTIVE BARGAINING AGREEMENT BETWEEN (Ephrata PSE / Ephrata School District #165) — PDF,Ephrata,PA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,916495,e1d46ee253498cb89f7ef0b91b79cbc21f875142139f95d84dd752063795995f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-23604e91ded43eaad9c1.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-5140910d25ffa73549f5,TS4L-0f6866242602749c909b,lane_1,FREA Unit C Agreement (2017–2020) — Fall River Educators Association,Fall River,MA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,228498,a71ca11111d9cb785251a6b7d9acae06bb300487b36d97924278f343b90e27e7,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5140910d25ffa73549f5.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-5c8283f8962e745d3d52,TS4L-0f8872dd903f807cd4a3,lane_1,CSEA Sides & Monitors Contract — 2022-2025 (Binghamton City School District),Binghamton,NY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,10106943,7b15c8cf306c4d15d453334d80b8a71c09189652557d865735338aad33f18b58,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-5c8283f8962e745d3d52.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-bd959d6f7902a64eede8,TS4L-0ffd423d1376a86041e9,lane_1,"Agreement by and between the Village of Lake in the Hills and SEIU Local 73 (Public Works) (Jan 1, 2018 – Dec 31, 2022) [PDF]",Lake in the Hills,IL,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,5506793,7afdae0cfce96ac2c9f5a5483042bdb604bd0d78fcae6232fb602f45a605eb5c,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-bd959d6f7902a64eede8.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-67fb23baabac726cc643,TS4L-1171084bf3acbe24f755,lane_1,"COLLECTIVE BARGAINING AGREEMENT (Orange City) — Teamsters contract (Fiscal Years 2023/24, 2024/25, 2025/26)",Orange City,FL,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,1566004,e083d7f66b5df690e850a4d901d76b58817373bb62ee1e2a151da69f62cfbdbc,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-67fb23baabac726cc643.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-ac99fe85a7e656da3337,TS4L-1a0e5b3c433cce724c7f,lane_1,"Collective Bargaining Agreement (City of Middletown, Ohio) — SERB contract PDF 19-MED-03-0176",Middletown,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,815001,5215019f9f8da777def782b4afd5bc74ea97aed159bea05304d4683d3c457933,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-ac99fe85a7e656da3337.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-c6b3e750aec1ce3b3f3a,TS4L-1a77530f2029d1a726f5,lane_1,"CSEA Non-Teaching Unit 6157 Agreement (signed) — July 1, 2023 to June 30, 2026 (Binghamton City School District)",Binghamton,NY,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,567367,f494ac7648ab77ac38d3f9293c986ef91cb073fbdf5ace1fdf71c5aeb836c4f5,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-c6b3e750aec1ce3b3f3a.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-f8cfd134c8273e95ec28,TS4L-1d4b842141e9480b0583,lane_1,Massachusetts DESE Educator Contracts download (Newton Unit A – 2015–2018),Newton,MA,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,547177,c5969261926f945d1ae513e2d4d8e76f0b7bd76970650c7ff0cd61ee36fc6706,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-f8cfd134c8273e95ec28.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
RS429-64c5272734c785fef27b,TS4L-22335d48391953a324b5,lane_1,"Collective Bargaining Agreement (City of Oxford, OH; SERB-hosted; agreement states effective Jan 1, 2021 after three (3) year contract effective date language)",Oxford,OH,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,application/pdf,.pdf,3542175,be0f63a4a25aa6ced8592f524b89d6d77812756218b5666596e10534e970824f,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/retained_sources/RS429-64c5272734c785fef27b.pdf,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false
