candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes
TS4L-4ebac999a9a820cc3540,lane_1,tier_a,verification_ready_high,https://www.fallriverschools.org/employment/contracts,Employment Contracts — Fall River Public Schools (collective bargaining agreements list),Fall River,MA,non_safety_comparator,Public school workforce (classified/administrative/instructional depending on listed contracts),Fall River Public Schools (bargaining units per listed agreements),2024-2027 (at least one item shown on page snippet),2024,2027,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city=True (Fall River),unknown_overlap_cycle (page shows at least one 2024–2027 period),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:04Z,verified_source_lead_not_downloaded,RS429-5769628923310b680bbc,weak_or_needs_review,downloaded_excluded_not_retained,200,text/html,.html,71716,22955c2d96dfdb2d62c9457285b991459dc686248035b328eeb8b3a40f9c8436,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:04Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.821; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR. embedded key-like literal detected by byte safety scan; local HTML copy removed."
TS4L-d552f7b4169c3ff4217d,lane_1,tier_a,verification_ready_high,https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Residents/Public%20Safety/Police/2023%20-%202024%20Collective%20Bargaining%20Agreement.pdf,City of Aurora (CO) Police 2023 - 2024 Collective Bargaining Agreement (PDF),Aurora,CO,non_safety_comparator,Police (collective bargaining unit contract document),,2023 - 2024,2023-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city_Aurora_CO,overlaps_2023-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:09Z,verified_source_lead_not_downloaded,RS429-c345e743f92535a6d5a1,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:08Z,"get_http_403; attempts=1; elapsed_seconds=0.351; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-01e4b54028e3ddedf6a7,lane_1,tier_b,verification_ready_medium,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_1881137/Image/Departments/Fire/CBA%202023%20-%202024.pdf,City of Aurora (CO) Fire Department CBA 2023 - 2024 (PDF),Aurora,CO,non_safety_comparator,Firefighters (collective bargaining unit contract document),,2023 - 2024,2023-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same-city_Aurora_CO,overlaps_2023-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:37Z,verified_source_lead_not_downloaded,RS429-e4de3ff3cf8a3b483c92,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:11Z,"get_http_403; attempts=1; elapsed_seconds=0.378; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-f163b8717d42d4aee607,lane_1,tier_b,verification_ready_medium,https://www.kckschools.org/hr/salary-schedules,Negotiated Agreements/Salary Schedules - Kansas City Kansas Unified School District 500 (USD 500),Kansas City,KS,non_safety_comparator,Educators / bargaining-unit employees covered by negotiated agreement salary schedules,"National Education Association – Kansas City, Kansas, Inc. (NEA Kansas City, Kansas)","2025-26 negotiated agreement (signed September 23, 2025)",2025-09-23,2026-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Kansas City, KS (same-city match likely via district explicitly named Kansas City, Kansas)",overlap uncertain (expected period unclear),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:33Z,verified_source_lead_not_downloaded,RS429-acfc31d053780ab74caf,weak_or_needs_review,downloaded_excluded_not_retained,200,text/html,.html,407842,fe1170f6707288479a28f14baa7f0c88bff3c771ba2d18b60b414be1ca418da2,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:26Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.672; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR. embedded key-like literal detected by byte safety scan; local HTML copy removed."
TS4L-05593b01b76714aabcf0,lane_2,tier_b,verification_ready_medium,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/BER18/2018-MERC-Decisions/20181114c16k125.pdf?hash=B985F45646FDE99532F4BAA5B7E46F0E&rev=baf1f20261db469ab7685a6876d86b07,MERC Decision PDF: Macomb County and Police Officers Association of Michigan (POAM) (contains CBA period 1/1/2014–12/31/2016),Macomb,MI,safety_and_non_safety_bargaining_units,Police (law enforcement),Police Officers Association of Michigan (POAM),In-document CBA effective 01/01/2014 through 12/31/2016 (as stated in source snippet),2014-01-01,2016-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Macomb match (Macomb County, MI)",Overlaps target window (2014–2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:37Z,verified_source_lead_not_downloaded,RS429-a5b48de8b07974ae822a,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:26Z,"get_http_403; attempts=1; elapsed_seconds=0.055; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-13907cad71ba29ad40fe,lane_2,tier_b,verification_ready_medium,https://appellate.nccourts.org/petitions/p-08182017.pdf,"SUPREME COURT OF NORTH CAROLINA — Petitions list including ""Kevin Bray and The Kernersville Professional Fire Fighters Association v. Curtis L. Swisher"" (COA16-928 / related entries)",Kernersville,NC,safety_and_non_safety_bargaining_units,firefighters (Professional Fire Fighters Association),The Kernersville Professional Fire Fighters Association,Related to COA16-928; case-linked timeframe within 2016-2017 (within 2014-2024 window),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Kernersville match (named in case listing),Within target window (2014-2024) based on docket/case-year references,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-43f9207af1864bc5d702,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:27Z,"get_http_403; attempts=1; elapsed_seconds=0.365; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-1c56aa07ae014d529726,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/impasse-between-town-tonawanda-and-town-tonawanda-salaried-workers-association-0,PERB: Impasse Between Town of Tonawanda and Town of Tonawanda Salaried Workers Association (impasse / fact-finding record locator),Tonawanda,NY,safety_and_non_safety_bargaining_units,Salaried workers (non-safety public employees; includes non-safety unit lead capacity),Town of Tonawanda Salaried Workers Association,2016-2019 (expected from impasse timeline; exact contract period not extracted),2016,2019,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,expected_overlap_2014_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:00Z,verified_source_lead_not_downloaded,RS429-914d6076a06387e34740,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:27Z,"get_http_403; attempts=1; elapsed_seconds=0.071; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-3f208a626ed634fbcc78,lane_2,tier_b,verification_ready_high,https://www.njcourts.gov/system/files/court-opinions/2024/a3351-22.pdf,"TOWNSHIP OF HAMILTON v. PBA LOCAL 66 AND PBA LOCAL 66A (Appellate Division opinion; references November 8, 2022 arbitrator's award; CNAs cover Jan 1, 2020–Dec 31, 2024)",Hamilton,NJ,safety_and_non_safety_bargaining_units,Police officers / superior officers,PBA Local 66 and PBA Local 66A (Superior Officers Association),"January 1, 2020–December 31, 2024 (CNAs); arbitration award referenced as dated November 8, 2022",2020-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Exact same municipality match (Hamilton Township, NJ)",Overlaps target window (2014–2024) via 2020–2024 CNA and 2022 arbitration award,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:14Z,verified_source_lead_not_downloaded,RS429-52c7f2e9351b1fb13a79,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:31Z,"get_http_403; attempts=1; elapsed_seconds=0.109; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-490a8211b65b67b22a28,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/system/files/documents/2024/05/m2017-043.pdf,"STATE OF NEW YORK PUBLIC EMPLOYMENT RELATIONS BOARD — Fact Finding Between West Babylon Union Free School District and Civil Service Employees Association (Para-Professional Unit), PERB Case No. M2017-043",Babylon,NY,safety_and_non_safety_bargaining_units,School district para-professional / support staff (CSEA Para-Professional Unit),Civil Service Employees Association (CSEA) (Para-Professional Unit),PERB Case No. M2017-043 (Fact-Finding Report; received 3/09/2018 per PERB listing),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Potential same-city match (West Babylon UFSD is in the Babylon/West Babylon area),Overlaps expected window (2014-2024): fact-finding received 2018,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:18Z,verified_source_lead_not_downloaded,RS429-28fb88a6c0d902ad17b5,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:32Z,"get_http_403; attempts=1; elapsed_seconds=0.077; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
TS4L-4ed745eaf952789e839d,lane_2,tier_b,verification_ready_high,https://www.alvin.gov/ArchiveCenter/ViewFile/Item/113,City of Alvin — Archive item (ViewFile/Item/113) referencing 2019-2020 Collective Bargaining Labor Agreement with Alvin Police Officers’ Union,Alvin,TX,safety_and_non_safety_bargaining_units,Police (public safety) — Alvin Police Officers’ Union,Alvin Police Officers’ Union (likely APOA),2019-2020 Collective Bargaining Labor Agreement (explicitly referenced); document appears to be around FY20/FY21 departmental reporting,2019-01-01 (inferred,2020-12-31 (inferred,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same city (Alvin, TX) — affirmative",overlaps target window (2014-2024) — affirmative,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:15Z,verified_source_lead_not_downloaded,RS429-e08fa103a060652f7a8f,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:32Z,"get_http_403; attempts=1; elapsed_seconds=0.352; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR."
