comparison_candidate_id,matched_cycle_id,safety_normalized_record_id,non_safety_normalized_record_id,comparison_type,pay_basis_comparable,effective_period_comparable,unit_rank_step_comparable,base_nonbase_comparable,normalization_quality,comparison_readiness,comparison_blocker_tags,allowed_output
B4X2500PAIR-0406b63027fb1ecea6ba1e0a,B4X2500MATCH-721453b4ecb7f0b208451c8b,B4X2500NORM-757ac3be85e62ccc2fb374d5,B4X2500NORM-c942e86e9c3a2b2f78a8d033,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-aef7c6b514694ffa648ab4aa,B4X2500MATCH-721453b4ecb7f0b208451c8b,B4X2500NORM-8aeb2c8234eaa2f0c2132197,B4X2500NORM-c942e86e9c3a2b2f78a8d033,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
B4X2500PAIR-ccb0bb3e2d29733169074d5f,B4X2500MATCH-721453b4ecb7f0b208451c8b,B4X2500NORM-9d70c836e91cec7f63aafc01,B4X2500NORM-c942e86e9c3a2b2f78a8d033,base_wage_level_candidate,false,true,true,true,moderate,needs_manual_review,"[""pay_basis_not_comparable""]",descriptive_structure_only
B4X2500PAIR-6ad5e0a32e9cbfeaf1e4bf7c,B4X2500MATCH-721453b4ecb7f0b208451c8b,B4X2500NORM-bd7a477ffdcd4a53209cf1ee,B4X2500NORM-c942e86e9c3a2b2f78a8d033,base_wage_level_candidate,true,true,false,true,moderate,needs_manual_review,"[""unit_rank_step_not_comparable""]",descriptive_structure_only
B4X2500PAIR-7ae0f05bd9d4d34997ecab1f,B4X2500MATCH-7c87871fbbeaea022c720f29,B4X2500NORM-4cfa50ef14d07caeba1aa30a,B4X2500NORM-f23d2ff72c0dccf408cd5197,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-cc2c4303f8a5cf1f345122c7,B4X2500MATCH-7c87871fbbeaea022c720f29,B4X2500NORM-5b0f2bc6e5619f2fa4ca47a0,B4X2500NORM-f23d2ff72c0dccf408cd5197,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-eb32ae42d3f51c27f79e907e,B4X2500MATCH-7c87871fbbeaea022c720f29,B4X2500NORM-5dcf0018296b646f6799739d,B4X2500NORM-f23d2ff72c0dccf408cd5197,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-771c37928945959c914b7a5b,B4X2500MATCH-ab551c25110a42a19ae8774c,B4X2500NORM-65c8d3c51fc8a00cac00fe55,B4X2500NORM-d34c5622ec8a1835095cc392,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-662dd836fb0d8bfb7c72484a,B4X2500MATCH-f2cb28068472fff98f8bb1b3,B4X2500NORM-7195563fcccd404316d7965f,B4X2500NORM-3b054155c8e70780dba67eb2,mechanism_context_pair,false,true,true,false,low,not_ready,"[""pay_basis_not_comparable"",""base_nonbase_not_comparable""]",prohibited_until_more_normalization
B4X2500PAIR-8eb060377484bdb0fb0bd0fd,B4X2500MATCH-04627211092a602932e45d85,B4X2500NORM-5d60a6bb81c3ccde92d70fe1,B4X2500NORM-11fda021d52619adce454036,base_wage_level_candidate,true,true,true,true,high,ready_for_bounded_review,[],bounded_exploratory_review_possible
