normalized_record_id,codified_record_id,rating_id,span_id,source_id,retained_source_id,candidate_id,municipality,state,region,source_family,cba_non_cba_hint,priority_bucket,evidence_category,primary_mechanism_cluster,original_locator,final_locator,page_number,section_heading,character_start_offset,character_end_offset,paragraph_offset,line_offset,raw_span_text,raw_paraphrase,raw_compensation_text,raw_value_text,raw_unit_text,raw_effective_period_text,raw_unit_or_group_text,raw_rank_step_grade_text,raw_base_nonbase_text,raw_context_notes,parsed_currency_amount,parsed_percentage_value,parsed_hourly_rate,parsed_annual_salary,parsed_monthly_rate,parsed_biweekly_rate,parsed_weekly_rate,parsed_daily_rate,parsed_lump_sum,parsed_stipend_or_allowance,parsed_premium_amount,parsed_premium_percentage,parsed_cola_cpi_value,parsed_step_or_grade_value,parsed_effective_date,parsed_start_date,parsed_end_date,parsed_contract_year,parsed_fiscal_year,parsed_cycle_label,normalized_pay_basis,normalized_hourly_equivalent,normalized_annual_equivalent,annualization_assumption,annualization_hours_used,normalized_percentage_growth,normalized_growth_type,base_or_non_base,non_base_component_type,unit_or_group,safety_category,occupation_or_classification,rank,step,grade,payband,effective_period_start,effective_period_end,municipality_cycle_id_candidate,comparison_cycle_candidate,normalized_value_confidence,normalization_status,normalization_blocker_tags,normalization_notes,source_title,quant_span_types,mechanism_attributes,direction_bucket,report_usability_bucket,span_sha256,scout_target_id,verification_row_id,source_review_download_id,readiness_id,extraction_id,normalized_at
B4X2500NORM-000e5cfcfa1978852dc29ce4,B4X2500COD-20260730-3a33684e76b8e918ab258da8,B4X2500-RATING-20260730-6fdb40c79c9113db8123f64d,B4X2500SPAN-20260730-8b02e97e28a761490705c3fb,B4X2500LIVE-20260729-008916,B4X2500SRD-20260730-339f4d3b52338ebaf889,B4X2500LIVE-20260729-008916,Cortlandt,NY,Northeast,arbitration_award,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://perb.ny.gov/system/files/documents/2024/03/ia91-020-award-7-10-92.pdf,https://perb.ny.gov/system/files/documents/2024/03/ia91-020-award-7-10-92.pdf,,,14663,14689,182,460,"effective January 1, 1991;","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","effective January 1, 1991;",,effective_date,1992-07-10; 1991-01-01,police,,,"PERB IA91-020: M-91-082 (Town of Cortlandt Police Benevolent Association) - Award / Conclusion / Determination (Received July 10, 1992);",,,,,,,,,,,,,,,1992-07-10,1992-07-10,1991-01-01,1992,,1992,unknown,,,not_safe_to_annualize,,,unknown,unclear,,police,police,police,,,,,1992-07-10,1991-01-01,B4X2500MC-2f9a881bb51501d8f1efb2cf,1992,moderate,normalization_mechanism_only,"[""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","PERB IA91-020: M-91-082 (Town of Cortlandt Police Benevolent Association) - Award / Conclusion / Determination (Received July 10, 1992)","[""effective_date""]","[""implementation_or_retroactivity_advantage""]",not_applicable,downstream_normalization_needed,12650bb144605e51a63d074dce5823b7f27896d62edfba77c4a28108313fed94,B4X2500-20260729-08778,B4X2500V-20260730-00967,B4X2500SRD-20260730-339f4d3b52338ebaf889,B4X2500RDY-20260730-703e01f23284776dc515,B4X2500TXT-20260730-d7b05cfe242802cb8d16,2026-07-30T22:04:38Z
B4X2500NORM-001d084dac37d629026d4b1a,B4X2500COD-20260730-09eea950aa3e6cb39ac86412,B4X2500-RATING-20260730-a6c5b46bb4eccb9f38debc63,B4X2500SPAN-20260730-fc61c6abb63baf0478af7a48,B4X2500LIVE-20260729-002991,B4X2500SRD-20260730-32e1cce1d71e058298c3,B4X2500LIVE-20260729-002991,York charter,MI,Midwest,mou_or_memorandum,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://cms2.revize.com/revize/yorktwp/Boards%20and%20Commissions/Board%20of%20Trustees/2025/5-13-2025%20BOT%20Packet.pdf,https://cms2.revize.com/revize/yorktwp/Boards%20and%20Commissions/Board%20of%20Trustees/2025/5-13-2025%20BOT%20Packet.pdf,,,3637,3747,13,84,"a $40.00 fee for both Home Additions and Solar (non-rooftop) zoning application fees, effective May 14, 2025.","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","a $40.00 fee for both Home Additions and Solar (non-rooftop) zoning application fees, effective May 14, 2025.",$40.00,effective_date,2025-05-14,utilities,,,"Employment Agreement to Provide for Building Official, Zoning Inspector, Ordinance Officer, and for Services to Provide for Proper Maintenance and Operation of the Township’s Water and Sewer Utilities (2025 - 2026);",40.0,,,,,,,,,,,,,,2025-05-14,2025-05-14,2026-12-31,2025,,2025-2026,unknown,,,not_safe_to_annualize,,,unknown,unclear,,utilities,non_safety,utilities,,,,,2025-05-14,2026-12-31,B4X2500MC-bd06ef538d5a954e6c7c1b26,2025-2026,moderate,normalization_mechanism_only,"[""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","Employment Agreement to Provide for Building Official, Zoning Inspector, Ordinance Officer, and for Services to Provide for Proper Maintenance and Operation of the Township’s Water and Sewer Utilities (2025 - 2026)","[""effective_date""]","[""implementation_or_retroactivity_advantage""]",neutral_or_general,pi_report_context_only,9aec73675a18790fa54dca816a856c43b474d13c4f3bf2b3990de0b055ef6dd7,B4X2500-20260729-02917,B4X2500V-20260730-03452,B4X2500SRD-20260730-32e1cce1d71e058298c3,B4X2500RDY-20260730-43ffc5528d0766f334ff,B4X2500TXT-20260730-f79a741aa0e1e4865178,2026-07-30T22:04:39Z
B4X2500NORM-002c80d7a9324aa7fdc64865,B4X2500COD-20260730-fc3c487ffc4b489d1a47e021,B4X2500-RATING-20260730-f1c6f2154b7bd6991dcb5b0e,B4X2500SPAN-20260730-50e085f891612aa2733fbe64,B4X2500LIVE-20260729-004536,B4X2500SRD-20260730-e7b9d12c7ae0a43b5356,B4X2500LIVE-20260729-004536,White Lake,NC,South,budget_or_pay_plan,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,weak_context_exclusion,https://www.whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,https://whitelakenc.org/_files/ugd/ffdcb9_fd123da0098942acb0a8e585786112f9.pdf,,,16483,16532,87,377,PROPOSED FISCAL YEAR 2025-26 BUDGET PRESENTATION,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",PROPOSED FISCAL YEAR 2025-26 BUDGET PRESENTATION,,contract_year_or_fiscal_year,2025-06-10,,,,"TOWN OF WHITE LAKE BOARD OF COMMISSIONER'S MEETING (June 10, 2025) — SECTION 12: CLASSIFICATION AND PAY PLAN (in 2025-2026 Budget Ordinance packet);",,,,,,,,,,,,,,,2025-06-10,2025-06-10,2026-12-31,2025,2025,2025-2026,unknown,,,not_safe_to_annualize,,,unknown,unclear,,unresolved_unit,unclear,unknown,,,,,2025-06-10,2026-12-31,B4X2500MC-0214bf845d1d4222dd177cc0,2025-2026,moderate,normalization_mechanism_only,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","TOWN OF WHITE LAKE BOARD OF COMMISSIONER'S MEETING (June 10, 2025) — SECTION 12: CLASSIFICATION AND PAY PLAN (in 2025-2026 Budget Ordinance packet)","[""contract_year_or_fiscal_year""]",[],not_applicable,exclude_from_report,47dce15c3a33d428645a71151f3b27647b25efda26ebf50963ec821cbcb52b73,B4X2500-20260729-04513,B4X2500V-20260730-02169,B4X2500SRD-20260730-e7b9d12c7ae0a43b5356,B4X2500RDY-20260730-150171fa4c37e8c49835,B4X2500TXT-20260730-87de5695b75c9fd9f62a,2026-07-30T22:04:38Z
B4X2500NORM-002e2cdb0f9a06eeaa1a2c48,B4X2500COD-20260730-638c80594b0c2b523d8254c1,B4X2500-RATING-20260730-47c490199bead96474725722,B4X2500SPAN-20260730-8168e6bd3ed163b3bc8187a3,B4X2500LIVE-20260729-005495,B4X2500SRD-20260730-17b82f7c86047c12a811,B4X2500LIVE-20260729-005495,Crosby,MN,Midwest,wage_schedule,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://www.cityofcrosby.com/vertical/sites/{21369B1E-BDE3-49AF-B806-A73777724DC7}/uploads/10-14-2025_Council_Packet.pdf,https://cityofcrosby.com/vertical/sites/%7B21369B1E-BDE3-49AF-B806-A73777724DC7%7D/uploads/10-14-2025_Council_Packet.pdf,,,76614,76697,452,1894,"b,2026 Wage Adjustment - Effective January 7,2026, all wage grades and steps shall","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","b,2026 Wage Adjustment - Effective January 7,2026, all wage grades and steps shall",,effective_date,2026,public_works,step s; grade s,,MOU / Labor Agreement (Teamsters General Local Union 346) — City of Crosby Public Works/Clerical (includes Article 32 wage schedule);,,,,,,,,,,,,,,,,2026-01-01,,2026,,2026,unknown,,,not_safe_to_annualize,,,unknown,unclear,,public_works,non_safety,public_works,,s,s,,2026-01-01,,B4X2500MC-ecb85425d00652fc9ded8e83,2026,moderate,normalization_mechanism_only,"[""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",MOU / Labor Agreement (Teamsters General Local Union 346) — City of Crosby Public Works/Clerical (includes Article 32 wage schedule),"[""effective_date""]","[""implementation_or_retroactivity_advantage""]",neutral_or_general,downstream_normalization_needed,d365df9634007fb424f7b4e6c2cd0ab2666d20306c9665076b0bfe6892daff54,B4X2500-20260729-05438,B4X2500V-20260730-00638,B4X2500SRD-20260730-17b82f7c86047c12a811,B4X2500RDY-20260730-f14f139447c8d7208a12,B4X2500TXT-20260730-117fe73ce64b94f75ed0,2026-07-30T22:04:38Z
B4X2500NORM-0035d1a9727156cb57a84fca,B4X2500COD-20260730-c1a1b795518c7b30329514a9,B4X2500-RATING-20260730-898521d82f68e55215432d2d,B4X2500SPAN-20260730-d3c7d9e8b3d76ed80a9bc51f,B4X2500LIVE-20260729-006989,B4X2500SRD-20260730-849191e6e67b38fd9063,B4X2500LIVE-20260729-006989,Kure Beach,NC,South,budget_or_pay_plan,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,quantitative_base_wage_needs_normalization,https://townofkurebeach.civicweb.net/document/51780/,https://townofkurebeach.civicweb.net/document/51780,,Section VII. Encumbrances: All outstanding encumbrances from prior fiscal years are to be,5606,5647,73,221,carried forward to Fiscal Year 2025-2026.,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",carried forward to Fiscal Year 2025-2026.,,contract_year_or_fiscal_year,2025; 2026,,,,Budget Ordinance FY 2025-2026 (Section IV. Salaries and Staffing: Pay Plan); Section VII. Encumbrances: All outstanding encumbrances from prior fiscal years are to be,,,,,,,,,,,,,,,,2025-01-01,2026-12-31,2025,2025,2025-2026,unknown,,,not_safe_to_annualize,,,unknown,unclear,,unresolved_unit,unclear,unknown,,,,,2025-01-01,2026-12-31,B4X2500MC-8b2c87bd962f8378b6ec7c66,2025-2026,moderate,normalization_mechanism_only,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Budget Ordinance FY 2025-2026 (Section IV. Salaries and Staffing: Pay Plan),"[""contract_year_or_fiscal_year""]",[],neutral_or_general,pi_report_context_only,daebb07fadbb1cfbe99373b8bb9711741fadd6fabf3f449005c9ad47c78193be,B4X2500-20260729-06973,B4X2500V-20260730-03598,B4X2500SRD-20260730-849191e6e67b38fd9063,B4X2500RDY-20260730-c3a2700dfea491731e08,B4X2500TXT-20260730-bb1ede73ce6a04a3732a,2026-07-30T22:04:38Z
B4X2500NORM-00745a2672fd3659717381c3,B4X2500COD-20260730-f2ad458000ec51ea4081c2a6,B4X2500-RATING-20260730-43ee890f040b505a937bd729,B4X2500SPAN-20260730-3f197c4802e442f5f80a52ed,B4X2500LIVE-20260729-006769,B4X2500SRD-20260730-85aa0534c3defb76a113,B4X2500LIVE-20260729-006769,Ocean Ridge,FL,South,compensation_study,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,https://cms7files.revize.com/oceanridgefl/document_center/Meeting%20Packages/Full%20Agenda%20Packet%20230815.pdf,,WAGES,33419,33517,107,587,"Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","Effective April 1, 2023 swo rn members shall receive an adjustment to their minimum salary in an",,effective_date,2023-04-01,,,,Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt); WAGES,,,,,,,,,,,,,,,2023-04-01,2023-04-01,,2023,,2023,unknown,,,not_safe_to_annualize,,,unknown,unclear,,unresolved_unit,unclear,unknown,,,,,2023-04-01,,B4X2500MC-100d9fb7d4668f8ad7ff8d89,2023,moderate,normalization_mechanism_only,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Full Agenda Packet 20230815 (compensation system/pay plan description; classification/compensation study excerpt),"[""effective_date""]","[""implementation_or_retroactivity_advantage""]",not_applicable,downstream_normalization_needed,f6216f57e701f97c4344aa45f808336a69ac5ebdd999012380bd66d1f524767d,B4X2500-20260729-06669,B4X2500V-20260730-00115,B4X2500SRD-20260730-85aa0534c3defb76a113,B4X2500RDY-20260730-868c350c9716d417850e,B4X2500TXT-20260730-71a9dbd5d6ed4fc30b6f,2026-07-30T22:04:39Z
B4X2500NORM-009427a24b6026db8b3ee548,B4X2500COD-20260730-dcde351e29cc1aefc8993640,B4X2500-RATING-20260730-5633d3c1ad454cfe3231fc93,B4X2500SPAN-20260730-cfb14235d4e6a053479296da,B4X2500LIVE-20260729-005405,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500LIVE-20260729-005405,Ithaca,MI,Midwest,agenda_packet_or_minutes,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://www.ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,https://ithacami.com/download/9830/city-council-minutes-full-year-2024.pdf,,,92301,92345,538,2072,"This renewal will be effective December 1,","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","This renewal will be effective December 1,",,effective_date,2024; 2026,,,,"City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026);",,,,,,,,,,,,,,,,2024-01-01,,2024,,2024,unknown,,,not_safe_to_annualize,,,unknown,unclear,,unresolved_unit,unclear,unknown,,,,,2024-01-01,,B4X2500MC-0b44850f2ed1d661aee23dc7,2024,moderate,normalization_mechanism_only,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","City Council Minutes (approved) — AFSCME Union Contract approval (Jan 1, 2024–Dec 31, 2026)","[""effective_date""]","[""implementation_or_retroactivity_advantage""]",neutral_or_general,downstream_normalization_needed,5ec8e4333ca39c10a5d957cf30f42b3f29ac7f77158eacbe262f5a70b62c7883,B4X2500-20260729-05376,B4X2500V-20260730-03414,B4X2500SRD-20260730-0a6daec64d89df48a587,B4X2500RDY-20260730-39e19484949759aee029,B4X2500TXT-20260730-90aa8a60023aceb1e15f,2026-07-30T22:04:39Z
B4X2500NORM-00acc4f9cdf9e3f0a3c8acd9,B4X2500COD-20260730-3300b06567ea57e54ad649aa,B4X2500-RATING-20260730-85912201588aface4c7a5bfb,B4X2500SPAN-20260730-52b109fac108797c9735cb17,B4X2500LIVE-20260729-005425,B4X2500SRD-20260730-07ba58e66f23cfba5984,B4X2500LIVE-20260729-005425,Northfield,MI,Midwest,cba,cba_hint,high_priority_verification_ready,mixed_quantitative_qualitative,automatic_wage_growth,https://www.poam.net/signed-and-sealed/signed-and-sealed-2019/,https://poam.net/signed-and-sealed/signed-and-sealed-2019,,,14852,14902,310,619,"Pensions bridged B-4, freeze COLA as of 12/31/18.",The passage combines a raw compensation term with possible wage-setting context for later review.,"Pensions bridged B-4, freeze COLA as of 12/31/18.",,COLA_or_CPI_adjustment,2019,police,,,Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed;,,,,,,,,,,,,,,,,2019-01-01,,2019,,2019,unknown,,,not_safe_to_annualize,,,COLA_CPI,unclear,,police,police,police,,,,,2019-01-01,,B4X2500MC-0c072a9c8bec1461059e2777,2019,moderate,normalization_mechanism_only,"[""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Signed and Sealed 2019 (Northfield Township Police Officers Association) — duration listed,"[""COLA_or_CPI_adjustment""]","[""automatic_raise_mechanism""]",neutral_or_general,downstream_normalization_needed,0db8c48399de449651495650c317df557bc9fe3fde0542f2961f45bbd180fea5,B4X2500-20260729-05387,B4X2500V-20260730-03444,B4X2500SRD-20260730-07ba58e66f23cfba5984,B4X2500RDY-20260730-f0415c1e7aac15c38f06,B4X2500TXT-20260730-9a22cd3973ab180f1dbe,2026-07-30T22:04:39Z
B4X2500NORM-00acdafa6783eb823cfcc5c6,B4X2500COD-20260730-b6e8940439f90b679d3f5b05,B4X2500-RATING-20260730-47e50eeb643f2c1d0dd36b00,B4X2500SPAN-20260730-42d610b8daae82fba8b180c6,B4X2500LIVE-20260729-005739,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,B4X2500LIVE-20260729-005739,Chester,OH,Midwest,cba,cba_hint,high_priority_verification_ready,quantitative_compensation,timing_implementation,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1303.pdf,,Section 2. Holiday Accrual and Usage.,21414,21465,96,391,"Effective January 1 of each year, bargaining unit","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","Effective January 1 of each year, bargaining unit",,effective_date,2021,police,,,Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)); Section 2. Holiday Accrual and Usage.,,,,,,,,,,,,,,,,2021-01-01,,2021,,2021,unknown,,,not_safe_to_annualize,,,unknown,unclear,,police,police,police,,,,,2021-01-01,,B4X2500MC-5876fbe864754b12dcea3902,2021,moderate,normalization_mechanism_only,"[""base_nonbase_unresolved"",""pay_basis_unresolved"",""base_nonbase_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Negotiated Agreement between Chester Township and the Ohio Patrolmen's Benevolent Association (SERB Case Nos. 2021-MED-10-1303 (Patrol) / 2021-MED-10-1304 (Sergeant)),"[""effective_date""]","[""implementation_or_retroactivity_advantage""]",not_applicable,downstream_normalization_needed,9bf0812cb62d98b63da36713c0d77f28ea5a7abbf7f814b7ad3139da795306ab,B4X2500-20260729-05765,B4X2500V-20260730-05402,B4X2500SRD-20260730-4b9c89799ffc20d9c68c,B4X2500RDY-20260730-0cb0a86d4af574da0db8,B4X2500TXT-20260730-395a9d1f3f295778ae17,2026-07-30T22:04:39Z
B4X2500NORM-00af1a96ddcd4b8590d7f2e1,B4X2500COD-20260730-ed126018a1f8c64cc3eccead,B4X2500-RATING-20260730-63d52fab8522225240a11424,B4X2500SPAN-20260730-da31d80765032e4e7230c5a7,B4X2500LIVE-20260729-002697,B4X2500SRD-20260730-9adbc9f0c505b618825e,B4X2500LIVE-20260729-002697,Wilmington,IL,Midwest,wage_schedule,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,automatic_wage_growth,https://www.wilmington-il.com/s/2020-to-2023-AFSCME-Union-Agreement.pdf,https://static1.squarespace.com/static/57ced2d71b631bb8d8f3a628/t/618af42dfc5da7240bf8b449/1636496430279/2020+to+2023+-+AFSCME+Union+Agreement.pdf,,FY 2021 FY 2022 FY 2023,82238,82281,434,1697,2.5% increase 2.75% increase 2.5% increase,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",2.5% increase 2.75% increase 2.5% increase,2.5%; 2.75%; 2.5%,percentage_raise,2020-05-01; 2023-04-30,,,,"COLLECTIVE BARGAINING AGREEMENT BETWEEN THE CITY OF WILMINGTON AND AFSCME COUNCIL 31, AFL-CIO, LOCAL 1909 (May 1, 2020 - April 30, 2023); FY 2021 FY 2022 FY 2023",,2.5,,,,,,,,,,,,,2020-05-01,2020-05-01,2023-04-30,2020,2021,2020,percentage,,,not_applicable,,2.5,across_the_board_raise,unclear,,unresolved_unit,unclear,unknown,,,,,2020-05-01,2023-04-30,B4X2500MC-c191631ba8c70a83bf864d6d,2020,moderate,normalization_mechanism_only,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""base_nonbase_unresolved"",""base_nonbase_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","COLLECTIVE BARGAINING AGREEMENT BETWEEN THE CITY OF WILMINGTON AND AFSCME COUNCIL 31, AFL-CIO, LOCAL 1909 (May 1, 2020 - April 30, 2023)","[""percentage_raise""]","[""automatic_raise_mechanism""]",neutral_or_general,downstream_normalization_needed,4ae75c8f16a949be692e6e0f2a8530804b139cff26e4c4479b2b135bd791514c,B4X2500-20260729-02664,B4X2500V-20260730-03168,B4X2500SRD-20260730-9adbc9f0c505b618825e,B4X2500RDY-20260730-cd3dda41eb5dd4c5d671,B4X2500TXT-20260730-08c65252d921b9886e04,2026-07-30T22:04:39Z
