caveat,claim_id,codified_record_id,evidence_quality_score,mechanism_cluster,municipality,paraphrase,rating_id,report_usability_bucket,source_family,source_id,span_id,state,original_paraphrase,raw_span_text,downgrade_reason,new_report_placement
These components require separate classification from base pay before comparative compensation analysis.,B4X2500-CLAIM-20260730-001,B4X2500COD-20260730-a6b96be534b9439cc35190a2,4,non_base_compensation,Jefferson,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-231c88c88fef2ec0a4420286,pi_report_core_finding_ready,civil_service_or_hr_pay_plan,B4X2500LIVE-20260729-008783,B4X2500SPAN-20260730-bb1917ac684af9333759de78,NJ,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"Employees in positions deemed to be unclassified by the New Jersey Civil Service Commission will earn sick, vacation,",outside_2014_2024_observation_window,context_or_exclusion
Directional tags are suggestive documentary hints only; matched city-cycle structure and normalized pay evidence are required before gap claims.,B4X2500-CLAIM-20260730-002,B4X2500COD-20260730-936e386a847caaeb0dedf192,4,quantitative_base_wage_needs_normalization,Green Tree,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-1792f54dc676bac0dbea372a,pi_report_core_finding_ready,salary_ordinance,B4X2500LIVE-20260729-004070,B4X2500SPAN-20260730-93938af48c60416848f11770,PA,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"the Special School Police. Section 5. The hourly rate of pay set forth in Section 2 above, shall remain in full force and effect",outside_2014_2024_observation_window,context_or_exclusion
Directional tags are suggestive documentary hints only; matched city-cycle structure and normalized pay evidence are required before gap claims.,B4X2500-CLAIM-20260730-002,B4X2500COD-20260730-2deaa475c1141cf7a2e162f2,4,quantitative_base_wage_needs_normalization,Franklin,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-18ba094f54134e7b60dd4feb,pi_report_core_finding_ready,budget_or_pay_plan,B4X2500LIVE-20260729-007700,B4X2500SPAN-20260730-18a4760faae5785d83cb431e,IN,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"(II) Police Dispatchers, Police Public Safety Officer, and Civilian Paramedics $400/yr. Section 5 The above-stated benefits are for reference and illustration only, and their inclusion in this ordinance does",outside_2014_2024_observation_window,context_or_exclusion
Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,B4X2500-CLAIM-20260730-003,B4X2500COD-20260730-aa8bf778b21db44799e4ad0f,4,timing_implementation,Independence charter,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-009a729aca5424c7ecba2db8,pi_report_core_finding_ready,wage_schedule,B4X2500LIVE-20260729-002942,B4X2500SPAN-20260730-21aa0a81770351f4b45ad4ef,MI,The passage describes a possible wage-setting or employment-rule mechanism for later review.,Any adjustments shall be retroactive to the beginning of the pay,outside_2014_2024_observation_window,context_or_exclusion
Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,B4X2500-CLAIM-20260730-003,B4X2500COD-20260730-25369590289e286adabe4edf,4,timing_implementation,East Fishkill,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-05c3cc469b3486df725ede23,pi_report_core_finding_ready,cba,B4X2500LIVE-20260729-006418,B4X2500SPAN-20260730-52bec72bf2247a1b58b7c191,NY,The passage describes a possible wage-setting or employment-rule mechanism for later review.,The higher rate of pay shall be retroactive to the first hour.,outside_2014_2024_observation_window,context_or_exclusion
Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,B4X2500-CLAIM-20260730-003,B4X2500COD-20260730-235205905c1b4fa56c9065ea,4,timing_implementation,DeWitt charter,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-0aca13989a50192dcf53f5d4,pi_report_core_finding_ready,agenda_packet_or_minutes,B4X2500LIVE-20260729-000400,B4X2500SPAN-20260730-58236b6b5ef6a186d88955ee,MI,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"The agreement is retroactive to January 1, 2024, and will expire on December 31, 2026.",outside_2014_2024_observation_window,context_or_exclusion
"This describes rated contract language; it does not establish national prevalence, comparative wage effects, or causality.",B4X2500-CLAIM-20260730-004,B4X2500COD-20260730-a25b92e16b0778420f80c5f5,4,automatic_wage_growth,Kingsville,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-1675ad27fdd7052f647c0ddd,pi_report_core_finding_ready,cba,B4X2500LIVE-20260729-007213,B4X2500SPAN-20260730-29c9436f70b41636401acda1,TX,The passage describes a possible wage-setting or employment-rule mechanism for later review.,and shall not automatically increase due to length of service.,outside_2014_2024_observation_window,context_or_exclusion
"Cross-unit comparison requires alignment of ranks, grades, steps, occupations, and effective periods.",B4X2500-CLAIM-20260730-005,B4X2500COD-20260730-5be828b641b6019dddbddc56,4,rank_step_specialization_classification,Menands,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-2b88645aefc5ce8448a95447,pi_report_core_finding_ready,cba,B4X2500LIVE-20260729-008969,B4X2500SPAN-20260730-e71ab6aeb5e84a86e36af81c,NY,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"Upon promotion, the Police Chief shall receive 7.5% above the Lieutenant base rate.",outside_2014_2024_observation_window,context_or_exclusion
These are local documentary justifications and cannot be generalized to all municipalities.,B4X2500-CLAIM-20260730-012,B4X2500COD-20260730-5d394d2618d227ace97105e0,4,market_staffing_pressure,Southern Shores,"The passage references market, comparison, recruitment, or retention context.",B4X2500-RATING-20260730-16c91cc0d7f65cc7fefa8389,pi_report_core_finding_ready,budget_or_pay_plan,B4X2500LIVE-20260729-004509,B4X2500SPAN-20260730-0047d9b8d5441db2d1e4641a,NC,"The passage references market, comparison, recruitment, or retention context.","The scale will advance by approximately 3.7%, which includes a slight market adjustment",outside_2014_2024_observation_window,context_or_exclusion
Directional tags are suggestive documentary hints only; matched city-cycle structure and normalized pay evidence are required before gap claims.,B4X2500-CLAIM-20260730-014,B4X2500COD-20260730-06e18dba506f65c211116e6d,4,safety_non_safety_directional_hints,Princeton,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-19458949e9b9bc5e4b0f07ce,pi_report_core_finding_ready,wage_schedule,B4X2500LIVE-20260729-007026,B4X2500SPAN-20260730-7d93be4c5a98590b6da69d47,NC,The passage describes a possible wage-setting or employment-rule mechanism for later review.,"Testing and drill by Fire Departments, if in the interest of public safety and the town. vii. Hydrant and sanitary sewer flushing. Exception: As needed to ensure public safety.",outside_2014_2024_observation_window,context_or_exclusion
Timing language is not a normalized measure of realized growth and does not by itself establish a safety/non-safety difference.,B4X2500-CLAIM-20260730-015,B4X2500COD-20260730-aa8bf778b21db44799e4ad0f,4,safety_non_safety_directional_hints,Independence charter,The passage describes a possible wage-setting or employment-rule mechanism for later review.,B4X2500-RATING-20260730-009a729aca5424c7ecba2db8,pi_report_core_finding_ready,wage_schedule,B4X2500LIVE-20260729-002942,B4X2500SPAN-20260730-21aa0a81770351f4b45ad4ef,MI,The passage describes a possible wage-setting or employment-rule mechanism for later review.,Any adjustments shall be retroactive to the beginning of the pay,outside_2014_2024_observation_window,context_or_exclusion
