normalized_record_id,codified_record_id,rating_id,span_id,source_id,retained_source_id,candidate_id,municipality,state,region,source_family,cba_non_cba_hint,priority_bucket,evidence_category,primary_mechanism_cluster,original_locator,final_locator,page_number,section_heading,character_start_offset,character_end_offset,paragraph_offset,line_offset,raw_span_text,raw_paraphrase,raw_compensation_text,raw_value_text,raw_unit_text,raw_effective_period_text,raw_unit_or_group_text,raw_rank_step_grade_text,raw_base_nonbase_text,raw_context_notes,parsed_currency_amount,parsed_percentage_value,parsed_hourly_rate,parsed_annual_salary,parsed_monthly_rate,parsed_biweekly_rate,parsed_weekly_rate,parsed_daily_rate,parsed_lump_sum,parsed_stipend_or_allowance,parsed_premium_amount,parsed_premium_percentage,parsed_cola_cpi_value,parsed_step_or_grade_value,parsed_effective_date,parsed_start_date,parsed_end_date,parsed_contract_year,parsed_fiscal_year,parsed_cycle_label,normalized_pay_basis,normalized_hourly_equivalent,normalized_annual_equivalent,annualization_assumption,annualization_hours_used,normalized_percentage_growth,normalized_growth_type,base_or_non_base,non_base_component_type,unit_or_group,safety_category,occupation_or_classification,rank,step,grade,payband,effective_period_start,effective_period_end,municipality_cycle_id_candidate,comparison_cycle_candidate,normalized_value_confidence,normalization_status,normalization_blocker_tags,normalization_notes,source_title,quant_span_types,mechanism_attributes,direction_bucket,report_usability_bucket,span_sha256,scout_target_id,verification_row_id,source_review_download_id,readiness_id,extraction_id,normalized_at
B4X2500NORM-00bf0b83e1c2c418edb92e55,B4X2500COD-20260730-3e2a584369c511ee398c7f0a,B4X2500-RATING-20260730-fb14077848503900da360d5b,B4X2500SPAN-20260730-861869295d36342bab37ee1e,B4X2500LIVE-20260729-001442,B4X2500SRD-20260730-2f0267688f69d9d736b8,B4X2500LIVE-20260729-001442,Cornwall,NY,Northeast,arbitration_award,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,rank_step_specialization_classification,https://perb.ny.gov/town-cornwall-and-town-cornwall-police-benevolent-association,https://perb.ny.gov/system/files/documents/2024/03/ia83-009-award-12-12-83.pdf,,,21873,21928,127,771,"Town Income Rank Salary Rank Kent $23,475 6 $23,000 6","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","Town Income Rank Salary Rank Kent $23,475 6 $23,000 6","$23,475.00; $23,000.00",step_schedule,,police,,base,PERB Arbitration Award (Town of Cornwall vs. Town of Cornwall Police Benevolent Association) — salary provisions and duration;,23475.0,,,,,,,,,,,,,23475.0,,,,,,,unknown,,,not_safe_to_annualize,,,step_progression,base,,police,police,police,,,,,,,B4X2500MC-405bf58d8eaca739eaadbd76,undated-source-B4X2500LIVE-20260729-001442,low,normalization_deferred_manual_review,"[""effective_period_or_cycle_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",PERB Arbitration Award (Town of Cornwall vs. Town of Cornwall Police Benevolent Association) — salary provisions and duration,"[""step_schedule""]","[""rank_or_specialization_premium""]",neutral_or_general,downstream_normalization_needed,91df94b2b64f1ef0a7836bcbcac830f750d9502fd544a81cd13b241baf512154,B4X2500-20260729-01284,B4X2500V-20260730-05292,B4X2500SRD-20260730-2f0267688f69d9d736b8,B4X2500RDY-20260730-603bcc5a0f4bc61122ce,B4X2500TXT-20260730-16037618c14761bb6f19,2026-07-30T22:04:39Z
B4X2500NORM-00d404d9f68b751be7f3e7d5,B4X2500COD-20260730-736e27ba36e5020a2f45d6ec,B4X2500-RATING-20260730-dc91318c2e8127cc28e301b9,B4X2500SPAN-20260730-66f0e58ee1dbd718140f129b,B4X2500LIVE-20260729-006332,B4X2500SRD-20260730-2b5e3f23ed06d3f9a28d,B4X2500LIVE-20260729-006332,Roxbury,NJ,Northeast,budget_or_pay_plan,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,rank_step_specialization_classification,https://www.roxburynj.us/AgendaCenter/ViewFile/Agenda/_06282022-819,https://roxburynj.us/AgendaCenter/ViewFile/Agenda/_06282022-819,,"SECTION 2. Chapter II, Administrative Code, Section 2-17, Officers and Employees Generally,",27512,27552,128,744,"Grade Minimum - Maximum 1 $0 - $19,999","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","Grade Minimum - Maximum 1 $0 - $19,999","$0.00; $19,999.00",step_schedule,,,grade Minimum,base,"Council Agenda/Introduced Materials (includes ordinance text amending Administrative Code § 2-17.13 Pay Plan for non-union personnel); SECTION 2. Chapter II, Administrative Code, Section 2-17, Officers and Employees Generally,",0.0,,,,,,,,,,,,,0.0,,,,,,,unknown,,,not_safe_to_annualize,,,step_progression,base,,unresolved_unit,unclear,unknown,,,Minimum,,,,B4X2500MC-3c64802a16248d6a1a4290b1,undated-source-B4X2500LIVE-20260729-006332,low,normalization_deferred_manual_review,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Council Agenda/Introduced Materials (includes ordinance text amending Administrative Code § 2-17.13 Pay Plan for non-union personnel),"[""step_schedule""]","[""rank_or_specialization_premium""]",neutral_or_general,pi_report_context_only,7b99f45ad8adb25ce449fbfb9331c0276730ced375df9182dc4865d2d087eeca,B4X2500-20260729-06240,B4X2500V-20260730-05120,B4X2500SRD-20260730-2b5e3f23ed06d3f9a28d,B4X2500RDY-20260730-6428a1359d0dd3d117fe,B4X2500TXT-20260730-8a742a4fe32dbf12bcb8,2026-07-30T22:04:39Z
B4X2500NORM-00dc1c61d093864c8828e6d6,B4X2500COD-20260730-ab584a2e4c47aa08449d33ef,B4X2500-RATING-20260730-57ca9194eddc91d9dd1fc384,B4X2500SPAN-20260730-5f73523d2a15b8f625a15b40,B4X2500LIVE-20260729-000157,B4X2500SRD-20260730-a653f53ddfe7d9469028,B4X2500LIVE-20260729-000157,Le Roy,IL,Midwest,wage_schedule,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,quantitative_base_wage_needs_normalization,https://www.leroy.org/file/643,https://leroy.org/file/643/00-05-01-60-Salary-Schedule.pdf,,,1229,1296,19,51,"SECTION 1 Annual Salary Schedule For Elected Officers Mayor $3,500","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","SECTION 1 Annual Salary Schedule For Elected Officers Mayor $3,500","$3,500.00",annual_salary,,,,base,Ordinance No. 00-05-01-60 — Salary Schedule Ordinance;,3500.0,,,,,,,,,,,,,,,,,,,,unknown,,,not_safe_to_annualize,,,unknown,base,,unresolved_unit,unclear,unknown,,,,,,,B4X2500MC-71e5445fd80b4ce3738ab937,undated-source-B4X2500LIVE-20260729-000157,low,normalization_deferred_manual_review,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Ordinance No. 00-05-01-60 — Salary Schedule Ordinance,"[""annual_salary""]","[""base_wage_direct_value""]",not_applicable,downstream_normalization_needed,b14f65fc8db9a95af32a5b5e50b57941a835b2868ee6cb1f634d96ea537cb679,B4X2500-20260729-00125,B4X2500V-20260730-01720,B4X2500SRD-20260730-a653f53ddfe7d9469028,B4X2500RDY-20260730-2b980dec8519d71e44f6,B4X2500TXT-20260730-a1f12e745346e7a8b9d7,2026-07-30T22:04:39Z
B4X2500NORM-0104dc5380a630fdaf2e9c38,B4X2500COD-20260730-33870c6da2117f99fadebb51,B4X2500-RATING-20260730-e75bf1b753dc5989213c30eb,B4X2500SPAN-20260730-d6876e55a8dade52d9f37647,B4X2500LIVE-20260729-003013,B4X2500SRD-20260730-1367327698faf2abcaa8,B4X2500LIVE-20260729-003013,Elysian,MN,Midwest,agenda_packet_or_minutes,non_cba_or_other_hint,medium_priority_verification_ready,quantitative_compensation,quantitative_base_wage_needs_normalization,https://www.elysianmn.com/wp-content/uploads/2025/09/Council-Minutes-81125.pdf,https://elysianmn.com/wp-content/uploads/2025/09/Council-Minutes-81125.pdf,,AND THE CITY OF ELYSIAN FOR CALENDAR YEAR 2025,9562,9663,21,194,"2025 for total mileage of 1.35 miles at a rate of $8,536.52 per mile per year for a total payment of","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","2025 for total mileage of 1.35 miles at a rate of $8,536.52 per mile per year for a total payment of","$8,536.52",hourly_rate,2025,fire,,base,"Council Minutes (Aug 11, 2025 regular meeting) — Fire Department compensation discussion (fire relief annual benefit; hourly pay for calls/training) and council consideration; AND THE CITY OF ELYSIAN FOR CALENDAR YEAR 2025",8536.52,,,,,,,,,,,,,,,2025-01-01,,2025,,2025,unknown,,,not_safe_to_annualize,,,unknown,base,,fire,fire,fire,,,,,2025-01-01,,B4X2500MC-1b421dca984e0fada82750df,2025,low,normalization_deferred_manual_review,"[""pay_basis_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","Council Minutes (Aug 11, 2025 regular meeting) — Fire Department compensation discussion (fire relief annual benefit; hourly pay for calls/training) and council consideration","[""hourly_rate""]","[""base_wage_direct_value""]",neutral_or_general,downstream_normalization_needed,80fe2d7e7ca57d952f5ea98c515069f50e007280cfe6e5f58a0fff2110dd8f99,B4X2500-20260729-02938,B4X2500V-20260730-02047,B4X2500SRD-20260730-1367327698faf2abcaa8,B4X2500RDY-20260730-2880a5a17f861012f9ae,B4X2500TXT-20260730-0d7c9b38ceb1a4237ae5,2026-07-30T22:04:39Z
B4X2500NORM-013806587f52649404d9a035,B4X2500COD-20260730-293471e900cac126eb79f5d0,B4X2500-RATING-20260730-8611f5effba99fb9f7a7cfe6,B4X2500SPAN-20260730-56fb35ad109dd798ab403152,B4X2500LIVE-20260729-001511,B4X2500SRD-20260730-6e92414c0738db34d37b,B4X2500LIVE-20260729-001511,Old Brookville,NY,Northeast,mou_or_memorandum,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,rank_step_specialization_classification,https://perb.ny.gov/village-old-brookville-and-old-brookville-police-benevolent-association,https://perb.ny.gov/system/files/documents/2024/03/ia96-005-award-3-24-97.pdf,,,41294,41432,527,1166,filst step and $100 to the second step so th!lt tlH' sc1H'dn1e nf pnympnts wi I 1 T0nd $700/$13'i tl !$190() - $100 per year thereaftpr.,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",filst step and $100 to the second step so th!lt tlH' sc1H'dn1e nf pnympnts wi I 1 T0nd $700/$13'i tl !$190() - $100 per year thereaftpr.,$100.00; $700.00; $13.00; $190.00; $100.00,step_schedule,1997,,step and,base,"Agreement between the Village of Old Brookville and the Old Brookville Policeman's Benevolent Association, Inc. — amended work schedule/twelve-hour tours (expires Dec. 31, 1997);",100.0,,,,,,,,,,,,,100.0,,1997-01-01,,1997,,1997,unknown,,,not_safe_to_annualize,,,step_progression,base,,unresolved_unit,unclear,unknown,,and,,,1997-01-01,,B4X2500MC-2d29862cf1f85482acdfce22,1997,low,normalization_deferred_manual_review,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","Agreement between the Village of Old Brookville and the Old Brookville Policeman's Benevolent Association, Inc. — amended work schedule/twelve-hour tours (expires Dec. 31, 1997)","[""step_schedule""]","[""rank_or_specialization_premium""]",not_applicable,pi_report_context_only,31d8cd9160f140c7850e2ae8c3e3af084ed59f294aa267a18385277f47518c05,B4X2500-20260729-01319,B4X2500V-20260730-03913,B4X2500SRD-20260730-6e92414c0738db34d37b,B4X2500RDY-20260730-a501a7c2aa8dc8d47bb8,B4X2500TXT-20260730-783c25805b1d5b9c97da,2026-07-30T22:04:39Z
B4X2500NORM-01faa40165eb7205336edcd7,B4X2500COD-20260730-afcf3d705f7de3734d3d92f8,B4X2500-RATING-20260730-7e113bf51f012f2a30f34c58,B4X2500SPAN-20260730-a88ae7e8b21a556b852ac13a,B4X2500LIVE-20260729-003390,B4X2500SRD-20260730-04cdf7b4c29e3f494571,B4X2500LIVE-20260729-003390,Argyle,WI,Midwest,agenda_packet_or_minutes,non_cba_or_other_hint,medium_priority_verification_ready,quantitative_compensation,non_base_compensation,https://www.argylewi.gov/wp-content/uploads/2025/08/2025-08-06-VofA_Board_Minutes.pdf,https://argylewi.gov/wp-content/uploads/2025/08/2025-08-06-VofA_Board_Minutes.pdf,,,4760,4925,2,34,Thresheree contract was presented for the board with the cost raised this year to the new rate of $250.00 plus a $50.00 refundable deposit for the two-day rental of,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",Thresheree contract was presented for the board with the cost raised this year to the new rate of $250.00 plus a $50.00 refundable deposit for the two-day rental of,$250.00; $50.00,hourly_rate,2003-11-05,,,base,"PROCEEDINGS OF REGULAR MONTHLY MEETING HELD NOVEMBER 5TH, 2003 (board minutes; includes payroll report references);",250.0,,,,,,,,,,,,,,2003-11-05,2003-11-05,,2003,,2003,unknown,,,not_safe_to_annualize,,,unknown,base,,unresolved_unit,unclear,unknown,,,,,2003-11-05,,B4X2500MC-fd428fec9696c217bd3f1291,2003,low,normalization_deferred_manual_review,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""cycle_outside_2014_2024_observation_window""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","PROCEEDINGS OF REGULAR MONTHLY MEETING HELD NOVEMBER 5TH, 2003 (board minutes; includes payroll report references)","[""hourly_rate""]","[""base_wage_direct_value""]",neutral_or_general,pi_report_context_only,3964c1dd250b154c428ea8f7a37b921cbf0d6f35f8cbf60345a8d4d33fb01f03,B4X2500-20260729-03421,B4X2500V-20260730-02807,B4X2500SRD-20260730-04cdf7b4c29e3f494571,B4X2500RDY-20260730-08d0be0047a5da85320e,B4X2500TXT-20260730-cff5a329487fd4ed283a,2026-07-30T22:04:38Z
B4X2500NORM-02431260da15653ff59e908f,B4X2500COD-20260730-9aff5b489f0798d6bd654ffd,B4X2500-RATING-20260730-61658a089510eaca95ac62c7,B4X2500SPAN-20260730-3084429de2e51436c6a46003,B4X2500LIVE-20260729-005743,B4X2500SRD-20260730-472167b64de7f043c495,B4X2500LIVE-20260729-005743,Coventry,OH,Midwest,cba,cba_hint,high_priority_verification_ready,quantitative_compensation,non_base_compensation,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-06-0639.pdf,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-06-0639.pdf,,Section 3. All holiday leave must be either used or sold back to the Township by,29039,29146,453,945,(11) days of the employee's accrued and unused holiday leave at the rate of $600.00 for each day of leave.,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",(11) days of the employee's accrued and unused holiday leave at the rate of $600.00 for each day of leave.,$600.00,hourly_rate,,fire,,base,Labor Agreement (Collective Bargaining Agreement) — IAFF Local No. 2286 (Firefighter/EMT bargaining unit); Section 3. All holiday leave must be either used or sold back to the Township by,600.0,,,,,,,,,,,,,,,,,,,,unknown,,,not_safe_to_annualize,,,unknown,base,,fire,fire,fire,,,,,,,B4X2500MC-7321f647c4e11880b66d994b,undated-source-B4X2500LIVE-20260729-005743,low,normalization_deferred_manual_review,"[""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Labor Agreement (Collective Bargaining Agreement) — IAFF Local No. 2286 (Firefighter/EMT bargaining unit),"[""hourly_rate""]","[""base_wage_direct_value""]",not_applicable,downstream_normalization_needed,8f7604de6f1e8af8583a12ab7b7fd296fca1bab83420997b81d52c7afe9ca8d4,B4X2500-20260729-05769,B4X2500V-20260730-03963,B4X2500SRD-20260730-472167b64de7f043c495,B4X2500RDY-20260730-298f93ceb34813ae89bc,B4X2500TXT-20260730-a69f9d78355f504528ec,2026-07-30T22:04:38Z
B4X2500NORM-02802e6c41654c5d2dadfb07,B4X2500COD-20260730-3e3ba2cea28225713d77f261,B4X2500-RATING-20260730-91c421cfcb888d826b832e0e,B4X2500SPAN-20260730-e66903837bc72ab9cca1e2bd,B4X2500LIVE-20260729-002309,B4X2500SRD-20260730-2b77082dc1df6eca4452,B4X2500LIVE-20260729-002309,Port Lions,AK,West,cba,cba_hint,high_priority_verification_ready,quantitative_compensation,weak_context_exclusion,https://www.commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Port%20Lions%20Code%20of%20Ordinance%207.19.19.pdf,https://commerce.alaska.gov/web/Portals/4/pub/LGS/Code_library/Port%20Lions%20Code%20of%20Ordinance%207.19.19.pdf,,,241931,242026,321,4032,Storage fees for any/all types of skiffs/trailers is set at a rate of five dollars ($5.00) per,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",Storage fees for any/all types of skiffs/trailers is set at a rate of five dollars ($5.00) per,$5.00,hourly_rate,,police_and_fire,,base,"City of Port Lions Code of Ordinance (includes Title 3: Personnel Policies and Procedures; Title 2: Combination of Police Chief, Fire Chief, and Harbormaster);",5.0,,,,,,,,,,,,,,,,,,,,unknown,,,not_safe_to_annualize,,,unknown,base,,police_and_fire,combined_safety,police_and_fire,,,,,,,B4X2500MC-de57eebe4c46b7b0974c2de6,undated-source-B4X2500LIVE-20260729-002309,low,normalization_deferred_manual_review,"[""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.","City of Port Lions Code of Ordinance (includes Title 3: Personnel Policies and Procedures; Title 2: Combination of Police Chief, Fire Chief, and Harbormaster)","[""hourly_rate""]","[""base_wage_direct_value""]",not_applicable,exclude_from_report,c748ae70c3ded9739c2376566dce002409ce786aeeca13612d3ac62cf793ffbe,B4X2500-20260729-02345,B4X2500V-20260730-00002,B4X2500SRD-20260730-2b77082dc1df6eca4452,B4X2500RDY-20260730-7b49a56f783e707d1996,B4X2500TXT-20260730-da14727922d1e8a721d0,2026-07-30T22:04:39Z
B4X2500NORM-02b3dc4ed06bdc0580bd01d6,B4X2500COD-20260730-2e697b5f86daa5180fad6ddd,B4X2500-RATING-20260730-ece24c5cee6f18d292fe8473,B4X2500SPAN-20260730-fc7553f84f8eddb4f94f0e0b,B4X2500LIVE-20260729-000440,B4X2500SRD-20260730-0f6d0f4f575d2fd927f6,B4X2500LIVE-20260729-000440,Lathrup Village,MI,Midwest,budget_or_pay_plan,non_cba_or_other_hint,high_priority_verification_ready,quantitative_compensation,quantitative_base_wage_needs_normalization,https://mccmeetingspublic.blob.core.usgovcloudapi.net/lathrupmi-meet-431cb73919ab49d8b84da31ac018fb54/ITEM-Attachment-001-c14a7f90742044ee919d2d82a1ddd1ec.pdf,https://mccmeetingspublic.blob.core.usgovcloudapi.net/lathrupmi-meet-431cb73919ab49d8b84da31ac018fb54/ITEM-Attachment-001-c14a7f90742044ee919d2d82a1ddd1ec.pdf,,,46552,46650,131,784,"to compensation during the period that he/she has no City-provided coverage at the rate of $3,000","The passage records a raw compensation amount, schedule, percentage, or timing term for later review.","to compensation during the period that he/she has no City-provided coverage at the rate of $3,000","$3,000.00",hourly_rate,,,,base,Personnel Manual of Employment Regulations (City of Lathrup Village) - Article 3: Compensation Policy;,3000.0,,,,,,,,,,,,,,,,,,,,unknown,,,not_safe_to_annualize,,,unknown,base,,unresolved_unit,unclear,unknown,,,,,,,B4X2500MC-6ee55f8a31574e25d1407057,undated-source-B4X2500LIVE-20260729-000440,low,normalization_deferred_manual_review,"[""safety_category_unresolved"",""occupation_or_unit_unresolved"",""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",Personnel Manual of Employment Regulations (City of Lathrup Village) - Article 3: Compensation Policy,"[""hourly_rate""]","[""base_wage_direct_value""]",neutral_or_general,downstream_normalization_needed,c0f737f0fa6dc7fb137f9f14be00cac4df94453a2cc4012878cef73b374a68e0,B4X2500-20260729-00378,B4X2500V-20260730-00540,B4X2500SRD-20260730-0f6d0f4f575d2fd927f6,B4X2500RDY-20260730-6f0d9f887d0cafab04ab,B4X2500TXT-20260730-ee46c917f6afa21ae7dc,2026-07-30T22:04:39Z
B4X2500NORM-0323f343262e257b13394de4,B4X2500COD-20260730-e9a31d05e8171a0c60978b9a,B4X2500-RATING-20260730-0fbd6794975cca1c8f9aabee,B4X2500SPAN-20260730-decbf11433ca5b3b6ba938c2,B4X2500LIVE-20260729-007968,B4X2500SRD-20260730-a9622d74a0bb471c97d3,B4X2500LIVE-20260729-007968,Williamston,MI,Midwest,cba,cba_hint,high_priority_verification_ready,quantitative_compensation,rank_step_specialization_classification,https://cclp.us/wp-content/uploads/Williamston-CBA-FINAL-01-01-25-12-31-28.pdf,https://cclp.us/wp-content/uploads/Williamston-CBA-FINAL-01-01-25-12-31-28.pdf,,APPENDIX A,68011,68055,325,1382,Step 2 (Year 1) $28.17 $29.58 $31.06 $32.61,"The passage records a raw compensation amount, schedule, percentage, or timing term for later review.",Step 2 (Year 1) $28.17 $29.58 $31.06 $32.61,$28.17; $29.58; $31.06; $32.61,step_schedule,,police,step 2,base,City of Williamston/CCLP Agreement (Williamston Non-Supervisory Police Officers Division); APPENDIX A,28.17,,,,,,,,,,,,,28.17,,,,,,,unknown,,,not_safe_to_annualize,,,step_progression,base,,police,police,police,,2,,,,,B4X2500MC-4747667d34f0849fabe9d605,undated-source-B4X2500LIVE-20260729-007968,low,normalization_deferred_manual_review,"[""effective_period_or_cycle_unresolved"",""pay_basis_unresolved""]","Raw values preserved. Equivalents are structural review fields, not wage-gap estimates.",City of Williamston/CCLP Agreement (Williamston Non-Supervisory Police Officers Division),"[""step_schedule""]","[""rank_or_specialization_premium""]",not_applicable,downstream_normalization_needed,80fcd07b9a9bca879eb6b11c8482c5ec69511b149bb37460ee3521e461b91c36,B4X2500-20260729-07917,B4X2500V-20260730-04872,B4X2500SRD-20260730-a9622d74a0bb471c97d3,B4X2500RDY-20260730-833cd396edece7fde0d3,B4X2500TXT-20260730-92a68ed3cc13beb30569,2026-07-30T22:04:39Z
