matched_cycle_id,municipality_cycle_id,municipality,state,cycle_start,cycle_end,cycle_label,safety_units_present,non_safety_units_present,safety_record_count,non_safety_record_count,comparable_base_wage_records_present,comparable_growth_records_present,comparable_nonbase_records_present,mechanism_overlap,directional_hint_summary,match_quality,match_blocker_tags,report_use
B4X2500MATCH-721453b4ecb7f0b208451c8b,B4X2500MC-00ac8cf24cbd914d0a286a80,Canastota,NY,2023,2024,2023-2024,"[""police""]","[""clerical_admin""]",4,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""not_applicable"":5}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",report_ready_structure
B4X2500MATCH-7c87871fbbeaea022c720f29,B4X2500MC-16876c521ca9c6de5678e2d7,Middlesex,NC,2019,2020,2019-2020,"[""police""]","[""sanitation""]",3,1,false,false,false,[],"{""neutral_or_general"":4,""not_applicable"":9}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""non_compensation_numeric_context"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-ab551c25110a42a19ae8774c,B4X2500MC-1c622eeef95ad2e965f9fd1a,Braham,MN,2024,2024,2024,"[""police""]","[""clerical_admin""]",1,1,false,false,false,[],"{""neutral_or_general"":10,""not_applicable"":4}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-f2cb28068472fff98f8bb1b3,B4X2500MC-2031ed05b1f556fc6b02a7cd,Southampton,NY,2022,2022,2022,"[""police""]","[""public_works""]",1,1,false,false,false,"[""timing_implementation""]","{""neutral_or_general"":3,""not_applicable"":1}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-04627211092a602932e45d85,B4X2500MC-22c99b34568565d4c36356a9,Island Heights,NJ,2024,2024,2024,"[""police""]","[""clerical_admin""]",2,2,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""not_applicable"":4}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""no_comparable_growth_records""]",report_ready_structure
B4X2500MATCH-f9be4e25cc7194f25945710a,B4X2500MC-234aff70dc03d2a1882e7306,Stanhope,NJ,2021,2021,2021,"[""police""]","[""public_works""]",3,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":3,""non_safety_advantage"":1,""not_applicable"":2}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",normalization_needed
B4X2500MATCH-16618e55ab8667e7468eae19,B4X2500MC-2528690fdf68d9eb65df3c2f,Franklin,IN,,,undated-source-B4X2500LIVE-20260729-007703,"[""police""]","[""clerical_admin""]",2,1,false,false,false,[],"{""neutral_or_general"":2,""not_applicable"":1}",incomplete,"[""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""non_compensation_numeric_context"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-c625f1761129c31bfd008151,B4X2500MC-296c2aec344982f55c785b8d,Kitty Hawk,NC,2023,2024,2023-2024,"[""police""]","[""public_works""]",12,1,false,false,false,[],"{""neutral_or_general"":4,""not_applicable"":9}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""non_compensation_numeric_context"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-cce3c5b8f6c6373b795581b7,B4X2500MC-2df95c92f499d8d16daf1ce4,Freeport,TX,2020,2020,2020,"[""police""]","[""sanitation""]",13,2,false,true,false,"[""weak_context_exclusion""]","{""neutral_or_general"":8,""not_applicable"":7}",moderate,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""non_compensation_numeric_context"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-5102d85098c66923f8555724,B4X2500MC-2e7693b66c088ae4496df46e,Mechanicsville,IA,2022,2022,2022,"[""police""]","[""library""]",2,1,false,true,false,"[""automatic_wage_growth""]","{""neutral_or_general"":1,""non_safety_advantage"":1,""not_applicable"":1}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records""]",normalization_needed
B4X2500MATCH-8344e6ae59eefd2e7fc1170c,B4X2500MC-30a857a92e1b664616c9a9d8,Westfield,NY,2017,2017,2017,"[""police""]","[""public_works""]",1,1,false,false,true,"[""weak_context_exclusion""]","{""non_safety_advantage"":1,""not_applicable"":5}",moderate,"[""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",normalization_needed
B4X2500MATCH-4da85f52f97336f952d94c3d,B4X2500MC-33ecde3ef7c16bd2a6586011,Putnam,MI,2023,2023,2023,"[""fire""]","[""clerical_admin""]",6,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":5,""not_applicable"":2}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",report_ready_structure
B4X2500MATCH-ec714308cdee5b6becac8b62,B4X2500MC-3407d4baa4cb47937af69d05,Gonzales,CA,2024,2024,2024,"[""police""]","[""clerical_admin""]",5,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":3,""not_applicable"":3}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",report_ready_structure
B4X2500MATCH-f14097aafbdcddb4e7d444c6,B4X2500MC-3a69029d224d7659a1deeb1a,Deer River,MN,,,undated-source-B4X2500LIVE-20260729-005500,"[""police""]","[""sanitation""]",2,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":3,""non_safety_advantage"":2,""not_applicable"":2}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved""]",normalization_needed
B4X2500MATCH-729fb950e93bdd838a1c58d6,B4X2500MC-3b7992238c6023178d93ddf5,Perry,NY,2023,2024,2023-2024,"[""police""]","[""clerical_admin""]",12,2,false,false,false,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]","{""neutral_or_general"":5,""not_applicable"":9}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-17da336ff75a3eb5095df65a,B4X2500MC-40f94cac49498906fbf135fd,Howland,OH,,,undated-source-B4X2500LIVE-20260729-003284,"[""police""]","[""clerical_admin""]",9,1,false,false,true,"[""weak_context_exclusion""]","{""neutral_or_general"":3,""not_applicable"":7}",weak,"[""base_nonbase_unresolved"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-c9ccb50e91050c716cecf59e,B4X2500MC-4167fc55dd05aecc67abf5f8,Bethalto,IL,2021,2021,2021,"[""fire"",""police""]","[""public_works""]",3,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":2,""not_applicable"":2}",moderate,"[""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-fdbbed4be469f77410b1f9aa,B4X2500MC-4250d2ecb983d42b16ec6727,Beacon Falls,CT,,,undated-source-B4X2500LIVE-20260729-005987,"[""fire"",""police""]","[""library"",""public_works""]",4,4,false,true,true,"[""non_base_compensation""]","{""neutral_or_general"":6,""not_applicable"":2}",weak,"[""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-2a180e050ab5fe2fa53bb123,B4X2500MC-4c6a439de1dfd20ada14cbca,Bristol,IN,2024,2024,2024,"[""police""]","[""clerical_admin"",""general_municipal""]",9,2,false,true,false,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":5,""not_applicable"":6}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""no_comparable_base_wage_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-0d5980c1253770254505cb0e,B4X2500MC-54f8efa34c0f272cd1a0a8c9,Shelby,MI,2017,2017,2017,"[""police""]","[""clerical_admin"",""public_works""]",11,2,false,false,true,"[""non_base_compensation"",""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":9,""not_applicable"":4}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-62e605d7c0517182e4b8d4b4,B4X2500MC-55f8f1915865013b39ff97ef,Conway,MA,,,undated-source-B4X2500LIVE-20260729-008534,"[""fire""]","[""clerical_admin""]",2,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":1,""non_safety_advantage"":1,""not_applicable"":2}",weak,"[""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",normalization_needed
B4X2500MATCH-0b83c030013929250552798e,B4X2500MC-5c79fb0b2c89a9a41dc369a5,Howland,OH,2021,2021,2021,"[""fire"",""police""]","[""public_works""]",3,2,false,true,false,"[""automatic_wage_growth""]","{""neutral_or_general"":2,""not_applicable"":3}",moderate,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-c771159680a9e19395a10ecd,B4X2500MC-62011899ef5b49fc2c51b5f9,Old Tappan,NJ,2024,2024,2024,"[""fire""]","[""public_works""]",12,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":3,""non_safety_advantage"":1,""not_applicable"":9}",moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-fa75b94fde3a35ddca662059,B4X2500MC-64d48a162e0e65f106b864fb,Middle,NJ,,,undated-source-B4X2500LIVE-20260729-003814,"[""police""]","[""clerical_admin""]",2,1,false,false,true,"[""non_base_compensation""]","{""neutral_or_general"":1,""not_applicable"":2}",weak,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_date_unresolved"",""effective_period_or_cycle_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",normalization_needed
B4X2500MATCH-8ca8e20c65a92a853c3c124b,B4X2500MC-67806a10ac6816c12f02f253,Shreve,OH,2024,2024,2024,"[""police""]","[""clerical_admin""]",2,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":1,""not_applicable"":7}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved""]",report_ready_structure
B4X2500MATCH-61232d27300cf2dc1d3424b5,B4X2500MC-7143b11af17fbf1a316e18f5,Cammack Village,AR,2024,2024,2024,"[""police""]","[""clerical_admin""]",4,3,true,false,false,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]","{""neutral_or_general"":3,""not_applicable"":4}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]",report_ready_structure
B4X2500MATCH-48367cd378ca957250f21502,B4X2500MC-76583eb24161f11d5509d77f,Madison,OH,2017,2017,2017,"[""police""]","[""public_works""]",2,1,false,false,false,"[""timing_implementation""]","{""not_applicable"":3}",incomplete,"[""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-2c0e4e17a3b754115fd450fb,B4X2500MC-7adf488cbedeb8a093b1ea34,Churubusco,IN,2023,2023,2023,"[""police""]","[""clerical_admin""]",1,2,false,false,false,[],"{""neutral_or_general"":3,""not_applicable"":5}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",context_only
B4X2500MATCH-7ac59167a89b06f13b75f4aa,B4X2500MC-7f622b419a1639f8e4329a37,Pennfield charter,MI,2022,2023,2022-2023,"[""fire""]","[""clerical_admin""]",7,4,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":1,""not_applicable"":10}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",report_ready_structure
B4X2500MATCH-ff79074e7cc28921c683b133,B4X2500MC-814196016d98eb401cb3a2cc,Porter,IN,2024,2024,2024,"[""police""]","[""clerical_admin""]",7,2,false,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":3,""non_safety_advantage"":1,""not_applicable"":5}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-51d106f953e9cbe9a42f8119,B4X2500MC-87fe4cf21a53cff894d1fdfc,Phippsburg,ME,2023,2023,2023,"[""police""]","[""clerical_admin""]",14,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":7,""not_applicable"":8}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""pay_basis_unresolved""]",report_ready_structure
B4X2500MATCH-595cfac392b7b676b3eea950,B4X2500MC-93163af2c07dc0be6c3eaa8f,Gilbert,SC,2023,2023,2023,"[""police""]","[""clerical_admin""]",2,1,false,false,false,[],"{""neutral_or_general"":1,""not_applicable"":2}",incomplete,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_base_wage_records"",""no_comparable_growth_records"",""pay_basis_unresolved""]",context_only
B4X2500MATCH-f61d246169f67d873ae7cfd5,B4X2500MC-9405f17f32b61482aebfb55c,Poland,OH,2023,2023,2023,"[""police""]","[""clerical_admin""]",1,1,true,false,false,"[""quantitative_base_wage_needs_normalization""]","{""neutral_or_general"":2,""not_applicable"":2}",strong,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""no_comparable_growth_records"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]",report_ready_structure
