municipality_cycle_id,municipality,state,region,cycle_start,cycle_end,contract_year,fiscal_year,cycle_label,source_count,span_count,normalized_record_count,safety_record_count,non_safety_record_count,unclear_record_count,base_record_count,non_base_record_count,mechanism_clusters_present,comparison_readiness_status,cycle_confidence,blockers
B4X2500MC-002676f1ed35312b37bd6880,Bonduel,WI,Midwest,,,,,undated-source-B4X2500LIVE-20260729-005879,1,1,1,0,0,1,0,1,"[""non_base_compensation""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-002b57f8ee5a80b6f8a71641,Auburndale,WI,Midwest,2025,2025,2025,,2025,1,1,1,0,0,1,1,0,"[""quantitative_base_wage_needs_normalization""]",unit_classification_incomplete,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-004abe09adc6aabfb47524e2,Edisto Beach,SC,South,2025,2025,2025,,2025,1,8,8,0,0,8,0,6,"[""non_base_compensation"",""timing_implementation"",""weak_context_exclusion""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-00578789b91bde3462ef219e,Turrell,AR,South,2023,2023,2023,,2023,1,2,2,2,0,0,2,0,"[""quantitative_base_wage_needs_normalization""]",missing_non_safety_evidence,moderate,"[""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]"
B4X2500MC-0067e29c9f6def3ae7a3d524,Blandford,MA,Northeast,,,,,undated-source-B4X2500LIVE-20260729-008523,1,10,10,0,1,9,4,5,"[""automatic_wage_growth"",""non_base_compensation"",""quantitative_base_wage_needs_normalization"",""rank_step_specialization_classification"",""weak_context_exclusion""]",missing_safety_evidence,low,"[""base_nonbase_unresolved"",""effective_period_or_cycle_unresolved"",""missing_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""rank_step_grade_unresolved"",""safety_category_unresolved""]"
B4X2500MC-009b30802b6a1f11a4e1db1e,St. Clair,OH,Midwest,2021,2023,2021,,2021-2023,1,10,10,10,0,0,0,9,"[""non_base_compensation"",""timing_implementation"",""weak_context_exclusion""]",missing_non_safety_evidence,high,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-00aa88762a352c1aef0f3699,Lanesboro,MN,Midwest,2024,2024,2024,,2024,1,5,5,5,0,0,0,4,"[""non_base_compensation"",""weak_context_exclusion""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-00ac8cf24cbd914d0a286a80,Canastota,NY,Northeast,2023,2024,2023,,2023-2024,1,5,5,4,1,0,5,0,"[""quantitative_base_wage_needs_normalization"",""rank_step_specialization_classification""]",safety_non_safety_evidence_present,high,"[""annual_equivalent_uses_standard_2080_assumption"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]"
B4X2500MC-00b1dd9300990fa4eb5789c1,Nimishillen,OH,Midwest,2024,2024,2024,,2024,1,1,1,0,1,0,0,0,"[""automatic_wage_growth""]",missing_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_safety_unit_in_cycle""]"
B4X2500MC-00c1082e046d313145869707,Texas charter,MI,Midwest,2026,2026,2026,,2026,1,1,1,1,0,0,1,0,"[""quantitative_base_wage_needs_normalization""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-00ca0d0974fedf03981dd4f0,Kildeer,IL,Midwest,2018,2018,2018,,2018,1,12,12,12,0,0,6,0,"[""automatic_wage_growth"",""quantitative_base_wage_needs_normalization"",""rank_step_specialization_classification"",""timing_implementation"",""weak_context_exclusion""]",missing_non_safety_evidence,moderate,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved"",""rank_step_grade_unresolved""]"
B4X2500MC-00cf52b5075280e0e7ea4711,Grand Lake,CO,West,2026,2026,2026,,2026,1,1,1,0,0,1,1,0,"[""rank_step_specialization_classification""]",unit_classification_incomplete,moderate,"[""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-00db0fa6700b5228a2269a9c,Bloomfield Hills,MI,Midwest,,,,,undated-source-B4X2500LIVE-20260729-005354,1,5,5,0,0,5,0,5,"[""non_base_compensation"",""weak_context_exclusion""]",unit_classification_incomplete,low,"[""effective_period_or_cycle_unresolved"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
B4X2500MC-00df2975178f47cbef54a48c,Gilbert,LA,South,,,,,undated-source-B4X2500LIVE-20260729-009426,1,5,5,0,1,4,1,4,"[""non_base_compensation"",""weak_context_exclusion""]",missing_safety_evidence,low,"[""effective_period_or_cycle_unresolved"",""missing_safety_unit_in_cycle"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved""]"
B4X2500MC-00f5157db2a80fdab55aad38,Clinton,OH,Midwest,2024,2024,2024,,2024,1,2,2,2,0,0,1,0,"[""automatic_wage_growth"",""timing_implementation""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-00fe98c6edfd9005b0d1a2cb,Madelia,MN,Midwest,2025,2025,2025,,2025,1,2,2,2,0,0,1,1,"[""quantitative_base_wage_needs_normalization"",""timing_implementation""]",missing_non_safety_evidence,moderate,"[""annual_equivalent_uses_standard_2080_assumption"",""cycle_outside_2014_2024_observation_window"",""missing_non_safety_unit_in_cycle""]"
B4X2500MC-012a65e0804785a97dcef52d,Sugarcreek,OH,Midwest,2020,2023,2020,,2020-2023,1,11,11,11,0,0,0,9,"[""non_base_compensation"",""timing_implementation"",""weak_context_exclusion""]",missing_non_safety_evidence,high,"[""base_nonbase_unresolved"",""missing_non_safety_unit_in_cycle"",""pay_basis_unresolved""]"
B4X2500MC-0141555cd132019bb9a632ce,Mantorville,MN,Midwest,2004,2004,2004,,2004,1,1,1,0,0,1,0,0,"[""timing_implementation""]",unit_classification_incomplete,moderate,"[""base_nonbase_unresolved"",""cycle_outside_2014_2024_observation_window"",""occupation_or_unit_unresolved"",""pay_basis_unresolved"",""safety_category_unresolved"",""safety_non_safety_classification_incomplete""]"
