candidate_id,target_id,municipality_id,municipality,state,county,region,lane_id,source_family_query_family,source_corpus_routing_hint,candidate_title,candidate_url_or_locator,source_domain,normalized_locator,snippet,search_rank,source_owner,source_owner_type,unit_type_hint,union_name_hint,employer_hint,possible_cycle_or_year,document_type_hint,candidate_stage,document_completeness,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,comparator_role,wrong_employer_risk,context_only_flag,needs_verification_reason,why_relevant,confidence,source_family_hint,source_family_confidence,mechanism_source_family_hints,discovery_timestamp,candidate_quality_hint,duplicate_locator_flag,prior_seen_locator_flag,verification_status,download_status,source_review_status,extraction_status,rating_status,ingestion_status,normalization_status,global_analysis_readiness,lineage,review_candidate_id,candidate_review_lane_id,candidate_review_lane_sequence,canonical_review_locator,cba_non_cba_hint,review_planned_status
BRM5C-BRM5-20260731-11283-02,BRM5-20260731-11283,cog_2025_207993,Pilot Mound,IA,Boone County (19015; primary),Midwest,scout_lane_004,arbitration_factfinding_labor_relations,causal,City Council page (Pilot Mound) — potential landing page for payroll/compensation-related resolutions/minutes,https://pilotmound.org/city-council/,pilotmound.org,https://pilotmound.org/city-council,"As an official municipal governance hub, it may provide access points to compensation-setting council actions that could contain operative wage provisions for non-safety/general employees.",2,,city,unclear,,Pilot Mound municipal government municipal government,unclear,index_page,context_only_candidate,index_or_landing_page,index_or_snippet_only,no_anchor_supplied,none,no,"No wage terms, COLA language, or arbitration/award period present on the landing page content retrieved.",mechanism_context,none,yes,Must inspect linked agendas/minutes/resolutions (if available) to determine whether any binding wage schedule/COLA or dispute-resolution award exists for covered city employees.,"As an official municipal governance hub, it may provide access points to compensation-setting council actions that could contain operative wage provisions for non-safety/general employees.",low,agenda_packet_or_minutes,high,strike_or_no_strike_constraint;non_safety_constraint_signal,2026-07-31T20:43:55.578686+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11283,BRM5C-BRM5-20260731-11283-02,candidate_review_lane_003,1,https://pilotmound.org/city-council,cba_arbitration_factfinding_hint,metadata_review_pending
BRM5C-BRM5-20260731-07567-01,BRM5-20260731-07567,cog_2025_164412,Stanhope,IA,Hamilton County (19079; primary),Midwest,scout_lane_003,personnel_policy,causal_or_pay_record,"Police Board Minutes — May 6, 2025",https://www.stanhopeiowa.com/documents/487/May__2025_Police_Board_Minutes.pdf,stanhopeiowa.com,https://stanhopeiowa.com/documents/487/May__2025_Police_Board_Minutes.pdf,"Potentially contains police personnel pay-setting language usable to anchor a personnel_policy/wage cycle for safety roles, subject to verification of operative wage period.",1,,city,police,,Stanhope municipal government municipal government,unclear,meeting_minutes,insufficient_candidate,partial_document,other_operative_text,unclear,none,no,"Minutes include salary amounts for Police Board personnel (e.g., starting salary of $68,000). No explicit contract duration/cover dates or wage schedule cycle terms identifiable from the accessible text.",safety_target,possible,yes,Does not provide contract/cba duration or an operative wage schedule covering a defined multi-year period; appears as administrative salary discussion rather than an executed wage agreement.,"Potentially contains police personnel pay-setting language usable to anchor a personnel_policy/wage cycle for safety roles, subject to verification of operative wage period.",medium,agenda_packet_or_minutes,high,,2026-07-31T20:40:05.617553+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07567,BRM5C-BRM5-20260731-07567-01,candidate_review_lane_003,2,https://stanhopeiowa.com/documents/487/May__2025_Police_Board_Minutes.pdf,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-15012-01,BRM5-20260731-15012,cog_2025_164573,McCallsburg,IA,Story County (19169; primary),Midwest,scout_lane_005,mou_memorandum_settlement,causal,City Council Packet (includes memorandum language referencing police union wage request; operative contract terms not confirmable without full inspection),https://mccmeetings.blob.core.usgovcloudapi.net/stfrncismn-pubu/MEET-Packet-7707544189134ad58c83bf096e46fd46.pdf,mccmeetings.blob.core.usgovcloudapi.net,https://mccmeetings.blob.core.usgovcloudapi.net/stfrncismn-pubu/MEET-Packet-7707544189134ad58c83bf096e46fd46.pdf,May contain council-action attachments or memorandum/packet materials that reference union negotiations and wage increases for McCallsburg municipal labor units.,1,,city,unclear,unidentified in accessible snippet,McCallsburg municipal government,unclear,agenda_cover_sheet,insufficient_candidate,blocked_or_unreadable,index_or_snippet_only,unclear,none,yes,"The accessible search snippet indicates union wage-request and discussion of salary tables, but the full PDF could not be fetched by the tooling (content length too large), so award/term/percentage-raise operative text for McCallsburg municipal employees cannot be confirmed.",mechanism_context,possible,yes,"Tooling failed to fetch the PDF content (content length too large), preventing verification of (a) binding MOU/settlement/contract terms, (b) duration/award period, and (c) whether the wage changes apply to police vs non-safety/general municipal employees.",May contain council-action attachments or memorandum/packet materials that reference union negotiations and wage increases for McCallsburg municipal labor units.,low,agenda_packet_or_minutes,high,,2026-07-31T20:46:48.610301+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-15012,BRM5C-BRM5-20260731-15012-01,candidate_review_lane_003,3,https://mccmeetings.blob.core.usgovcloudapi.net/stfrncismn-pubu/MEET-Packet-7707544189134ad58c83bf096e46fd46.pdf,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-03794-01,BRM5-20260731-03794,cog_2025_164553,Lytton,IA,Sac County (19161; primary); Calhoun County (19025),Midwest,scout_lane_002,civil_service_hr,causal_or_pay_record,"Minutes to Lytton City Council Meeting December 2, 2024 (includes Resolution 24-20 Setting Salaries for Employees; 2.5% COL raise effective Jan 1, 2025)",https://iaarchives.newzgroup.com/IALegals/2024/45195-2024-12-17_1002.pdf,iaarchives.newzgroup.com,https://iaarchives.newzgroup.com/IALegals/2024/45195-2024-12-17_1002.pdf,"Operative salary-setting language for ordinary municipal employees (e.g., clerk and public works roles) with an effective date (Jan 1, 2025), which can indicate an HR/civilian wage setting mechanism.",1,,third_party,non_safety,,Lytton municipal government,unclear,ordinance_or_policy,context_only_candidate,partial_document,"other_operative_text (""Starting on January 1, 2025 city employees will receive a 2.5% cost of living raise""; lists City Clerk/Public Works Superintendent/Public Works Assistant hourly rates)",no_anchor_supplied,none,no,"Visible wage-effective date is Jan 1, 2025, but the operative period/duration for the salary schedule is not shown in the snippet captured from the minutes PDF; therefore contract_years and full award period are unclear.",authoritative_civilian_wage_setting,possible,yes,"Source is a newspaper-hosted PDF of council minutes; verify whether Resolution 24-20 contains any binding wage plan details beyond the excerpt, and confirm whether it is a non-bargaining-setting salary resolution vs. settlement/factfinding language.","Operative salary-setting language for ordinary municipal employees (e.g., clerk and public works roles) with an effective date (Jan 1, 2025), which can indicate an HR/civilian wage setting mechanism.",medium,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:23:51.752868+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-03794,BRM5C-BRM5-20260731-03794-01,candidate_review_lane_003,4,https://iaarchives.newzgroup.com/IALegals/2024/45195-2024-12-17_1002.pdf,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-07532-01,BRM5-20260731-07532,cog_2025_138197,Lohrville,IA,Calhoun County (19025; primary),Midwest,scout_lane_003,civil_service_hr,causal_or_pay_record,City of Lohrville 2024 Employee Wage Report (published in Calhoun County Phoenix; includes city council minutes context),https://iaarchives.newzgroup.com/IALegals/2025/45492-2025-01-23_1002.pdf,iaarchives.newzgroup.com,https://iaarchives.newzgroup.com/IALegals/2025/45492-2025-01-23_1002.pdf,"May help locate the city’s salary/wage-setting actions via minutes/notices, but not sufficient as a municipal labor-source for police/fire/non-safety civil-service pay classification by itself.",1,,third_party,non_safety,,Lohrville municipal government,unclear,context_only,context_only_candidate,partial_document,index_or_snippet_only,no_anchor_supplied,none,no,"Contains a '2024 EMPLOYEE WAGE REPORT' list and city-council/minutes excerpts, but does not provide an explicit compensation plan, wage classification schedule, or contract-duration operative text for a civil-service HR or longevity-pay mechanism.",no_comparator_role,none,yes,"Lead is only an employee wage listing/minutes context; requires separate, operative wage-setting text (e.g., wage ordinance schedule/pay plan/HR classification with effective dates and duration) to qualify.","May help locate the city’s salary/wage-setting actions via minutes/notices, but not sufficient as a municipal labor-source for police/fire/non-safety civil-service pay classification by itself.",medium,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:27:03.538371+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_003:BRM5-20260731-07532,BRM5C-BRM5-20260731-07532-01,candidate_review_lane_003,5,https://iaarchives.newzgroup.com/IALegals/2025/45492-2025-01-23_1002.pdf,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-11270-02,BRM5-20260731-11270,cog_2025_164567,Maurice,IA,Sioux County (19167; primary),Midwest,scout_lane_004,agenda_minutes_packet,causal_or_pay_record,Council Meeting Minutes (Landing / index of PDF minutes by date),https://cityofmaurice.com/government/minutes-agendas/,cityofmaurice.com,https://cityofmaurice.com/government/minutes-agendas,Primary city index to locate any non-safety wage-setting agenda/minutes items that could include operative wage language.,2,,city,unclear,,Maurice municipal government,unclear,agenda_cover_sheet,context_only_candidate,index_or_landing_page,index_or_snippet_only,unclear,none,no,Provides access to many dated minutes PDFs that may include pay-setting motions for city positions; requires inspection of specific dated PDFs for any binding wage policy/schedule or multi-year terms.,mechanism_context,none,yes,Landing page only; does not itself contain binding labor terms.,Primary city index to locate any non-safety wage-setting agenda/minutes items that could include operative wage language.,high,agenda_packet_or_minutes,high,non_safety_constraint_signal,2026-07-31T20:38:51.933122+00:00,high_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11270,BRM5C-BRM5-20260731-11270-02,candidate_review_lane_003,6,https://cityofmaurice.com/government/minutes-agendas,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-11270-01,BRM5-20260731-11270,cog_2025_164567,Maurice,IA,Sioux County (19167; primary),Midwest,scout_lane_004,agenda_minutes_packet,causal_or_pay_record,"City Council Minutes — June 16, 2026 (Council Proceedings)",https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,cityofmaurice.com,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,May evidence an adopted/current civilian wage rate-setting action by the city council for an ordinary (non-safety) municipal role.,1,,city,non_safety,,Maurice municipal government,unclear,meeting_minutes,context_only_candidate,partial_document,other_operative_text,unclear,none,no,Contains an operative hourly pay offer for a part-time position (not a CBA/arbitration/wage plan; no longevity-shift or multi-year award period text observed in the minutes excerpt).,authoritative_civilian_wage_setting,none,yes,Not an executed wage schedule or bargaining agreement; pay appears tied to a specific hiring action and duration terms for employment/raise schedule are not clearly provided here.,May evidence an adopted/current civilian wage rate-setting action by the city council for an ordinary (non-safety) municipal role.,medium,agenda_packet_or_minutes,high,strike_or_no_strike_constraint;non_safety_constraint_signal,2026-07-31T20:38:51.933122+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11270,BRM5C-BRM5-20260731-11270-01,candidate_review_lane_003,7,https://cityofmaurice.com/wp-content/uploads/2026/06/City-Council-Minutes-June-16-2026.pdf,non_cba_or_unresolved_hint,metadata_review_pending
BRM5C-BRM5-20260731-04264-02,BRM5-20260731-04264,cog_2025_125155,Winfield,IL,DuPage County (17043; primary),Midwest,scout_lane_002,arbitration_factfinding_labor_relations,causal,"Agenda (Winfield Village Board of Trustees) — Approval of a Four-Year Collective Bargaining Agreement Between the Village of Winfield and the Metropolitan Alliance of Police, Chapter #477 (Patrol) (term May 1, 2025 – April 30, 2029)",https://www.villageofwinfield.com/DocumentCenter/View/16109/20250619-Agenda---Revised-PDF_,villageofwinfield.com,https://villageofwinfield.com/DocumentCenter/View/16109/20250619-Agenda---Revised-PDF_,Provides term/cycle anchor for police negotiations potentially including wage reopener/retroactive wage implementation; useful for locating the corresponding binding wage document.,2,,city,police,Metropolitan Alliance of Police (MAP) Chapter #477 (Patrol),Winfield municipal government,"May 1, 2025 – April 30, 2029 (term stated in agenda narrative)",agenda_cover_sheet,context_only_candidate,partial_document,"Agenda narrative states a four-year term (May 1, 2025 – April 30, 2029) and year-by-year COLA percentages.",no_anchor_supplied,possible,no,Only agenda narrative is available in the source; the actual executed CBA text is not provided/verified from this URL.,safety_target,possible,yes,Does not provide the executed CBA or binding arbitration/factfinding wage award text; must verify whether a binding award exists and whether it includes retroactive wage implementation effective-date language.,Provides term/cycle anchor for police negotiations potentially including wage reopener/retroactive wage implementation; useful for locating the corresponding binding wage document.,low,agenda_packet_or_minutes,high,,2026-07-31T23:18:08.198140+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_002:BRM5-20260731-04264,BRM5C-BRM5-20260731-04264-02,candidate_review_lane_003,8,https://villageofwinfield.com/DocumentCenter/View/16109/20250619-Agenda---Revised-PDF_,cba_arbitration_factfinding_hint,metadata_review_pending
BRM5C-BRM5-20260731-15215-01,BRM5-20260731-15215,cog_2025_162682,Grayville,IL,White County (17193; primary); Edwards County (17047),Midwest,scout_lane_005,cba_agreement,causal,"City of Grayville City Council Minutes — May 13, 2024 (note on collective bargaining agreement negotiations)",https://grayville-il.gov/wp-content/uploads/2024/06/MINUTES-05-13-2024.pdf,grayville-il.gov,https://grayville-il.gov/wp-content/uploads/2024/06/MINUTES-05-13-2024.pdf,"May indicate there is a (potential) municipal collective bargaining agreement, but it is not contained in this document.",1,,city,unclear,,Grayville municipal government,unclear,agenda_cover_sheet,context_only_candidate,partial_document,unclear,no_anchor_supplied,none,no,"Minutes mention they are 'getting close on the Collective Bargaining Agreement' but do not provide contract term, wages, retroactive effective date, or bargaining unit details.",mechanism_context,none,yes,No executed CBA/wage schedule or binding wage retroactivity text present; only a negotiation-status remark.,"May indicate there is a (potential) municipal collective bargaining agreement, but it is not contained in this document.",low,agenda_packet_or_minutes,high,,2026-07-31T22:01:08.143951+00:00,low_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_005:BRM5-20260731-15215,BRM5C-BRM5-20260731-15215-01,candidate_review_lane_003,9,https://grayville-il.gov/wp-content/uploads/2024/06/MINUTES-05-13-2024.pdf,cba_arbitration_factfinding_hint,metadata_review_pending
BRM5C-BRM5-20260731-11678-02,BRM5-20260731-11678,cog_2025_125322,South Rock Island,IL,Rock Island County (17161; primary),Midwest,scout_lane_004,agenda_minutes_packet,causal_or_pay_record,"Minutes of the Meeting (South Rock Island Township Board) — July 29, 2024",https://www.sritownship.net/minutes/20240729.pdf,sritownship.net,https://sritownship.net/minutes/20240729.pdf,"Potential mechanism context for employee compensation administration (PTO policy), but not a binding wage comparables document.",2,,city,non_safety,,South Rock Island municipal government municipal government (South Rock Island Township),unclear,meeting_minutes,context_only_candidate,full_document,other_operative_text,unclear,none,no,Minutes include an item to amend the Township Personnel Policy (page 8) to read that PTO hours for part-time employees are based on the calendar year; no wage rates/step schedule or longevity specialty pay is shown in the visible text excerpt.,mechanism_context,possible,yes,"Appears to be policy-level PTO amendment; not a wage contract or wage schedule, and does not evidence longevity shifts/specialty non-base pay.","Potential mechanism context for employee compensation administration (PTO policy), but not a binding wage comparables document.",medium,agenda_packet_or_minutes,high,market_or_comparability_pressure,2026-07-31T23:30:10.853995+00:00,medium_candidate,false,false,not_verified,not_downloaded,not_reviewed,not_extracted,not_rated,not_ingested,not_normalized,false,BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01:scout_lane_004:BRM5-20260731-11678,BRM5C-BRM5-20260731-11678-02,candidate_review_lane_003,10,https://sritownship.net/minutes/20240729.pdf,non_cba_or_unresolved_hint,metadata_review_pending
