triage_id,candidate_queue_row_id,verification_id,verification_round_id,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,final_url,candidate_title,candidate_source_type,candidate_status_before_verification,verification_status,content_type,source_locator,triage_bucket,candidate_priority,verification_lane_id,duplicate_source_group_id,duplicate_group_size,duplicate_group_role_for_triage,source_owner_type,unit_type_scouted,population,state_candidate_rows_per_covered,matched_set_potential,official_domain_signal,triage_selection_rank,triage_stage,triage_status,triage_status_detail,source_relevance_prelim,source_officialness_prelim,employer_match_prelim,municipality_match_prelim,bargaining_unit_match_prelim,safety_unit_signal_prelim,non_safety_unit_signal_prelim,source_document_type_prelim,source_year_or_period_prelim,wage_table_signal_prelim,wage_growth_signal_prelim,mechanism_language_signal_prelim,extraction_readiness_prelim,priority_for_content_review,recommended_next_action,duplicate_handling_status,oversized_handling_status,manual_review_reason,triage_notes,reviewer,triaged_at
TRI-bdd8e220732ab1cbee09,NSCQ-IL-20260720-0140,VER-73087df20a0b7600e7eb,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_162602,162602,IL,Rock Island,CITY OF ROCK ISLAND,https://www.rigov.org/DocumentCenter/View/758,https://www.rigov.org/DocumentCenter/View/758/Union-Contracts-FOP-Contract?bidId=,AN AGREEMENT BETWEEN THE CITY OF ROCK ISLAND AND ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL (ROCK ISLAND CITY NO. 57-1),cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.rigov.org/DocumentCenter/View/758/Union-Contracts-FOP-Contract?bidId=,high_priority_later_verify,high,lane_2,URL-c8e6f2cd418034e16208,1,canonical_representative,city,police,,2.422764,yes,likely_official,2,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-1c23c134d0e6ff22bb44,NSCQ-IL-20260720-0146,VER-869a75d4c29ae9093efd,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_162420,162420,IL,Galesburg,CITY OF GALESBURG,https://cms7files.revize.com/galesburg/Document_Center/Department/Administration/Human%20Resources/Documents/PSEO%20Agreement%202024%20-%202026.pdf,https://cms7files.revize.com/galesburg/Document_Center/Department/Administration/Human%20Resources/Documents/PSEO%20Agreement%202024%20-%202026.pdf,Public Safety Employees’ Organization (PSEO) Agreement 2024 - 2026,cba,scheduled,reachable_pdf_or_document,application/pdf,https://cms7files.revize.com/galesburg/Document_Center/Department/Administration/Human%20Resources/Documents/PSEO%20Agreement%202024%20-%202026.pdf,high_priority_later_verify,high,lane_3,URL-d45b81a9c1687e7c3027,1,canonical_representative,city,police,,2.422764,yes,likely_official,6,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-81d6ea43e8cc7bc44c8a,NSCQ-IL-20260720-0151,VER-e3cb34f6bda6badb9150,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_194697,194697,IL,Lombard,VILLAGE OF LOMBARD,https://villageoflombard.org/DocumentCenter/View/1196,https://villageoflombard.org/DocumentCenter/View/1196/Fire-2019-2022-Union-Contract-PDF?bidId=,"Agreement between the Village of Lombard and Lombard Firefighters' Union, Local 3009",cba,scheduled,reachable_pdf_or_document,application/pdf,https://villageoflombard.org/DocumentCenter/View/1196/Fire-2019-2022-Union-Contract-PDF?bidId=,high_priority_later_verify,high,lane_1,URL-bcc11bcfe551ff9f2179,1,canonical_representative,city,fire,,2.422764,yes,likely_official,10,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-53a19f4880d74f214145,NSCQ-IL-20260720-0160,VER-4e7397801346a13131a5,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_162269,162269,IL,Wheeling,VILLAGE OF WHEELING,https://www.wheelingil.gov/DocumentCenter/View/1031/Police-Contract-MAP-05012023_04302027-PDF,https://www.wheelingil.gov/DocumentCenter/View/1031/Police-Contract-MAP-05012023_04302027-PDF,"Agreement Between the Village of Wheeling and the Metropolitan Alliance of Police Wheeling Chapter for the Period of May 1, 2023 to April 30, 2027",cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.wheelingil.gov/DocumentCenter/View/1031/Police-Contract-MAP-05012023_04302027-PDF,high_priority_later_verify,high,lane_3,URL-ebdacb84daeb919e8da8,1,canonical_representative,city,police,,2.422764,yes,likely_official,14,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-4ad31a60bce4197ca528,NSCQ-IL-20260720-0167,VER-fb53e641a76053c96d5c,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_162407,162407,IL,St. Charles,CITY OF ST CHARLES,https://www.stcharlesil.gov/files/assets/city/v/1/images/docs/hr/cbas/mappatrolcba-final-signedwilrbstamp.pdf,https://www.stcharlesil.gov/files/assets/city/v/1/docs/hr/cbas/mappatrolcba-final-signedwilrbstamp.pdf,"Agreement Between The City of St. Charles, Illinois and Metropolitan Alliance of Police St. Charles Chapter 27 (MAP Chapter 27 Officers)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.stcharlesil.gov/files/assets/city/v/1/docs/hr/cbas/mappatrolcba-final-signedwilrbstamp.pdf,high_priority_later_verify,high,lane_2,URL-396cbd05b43c57781dbd,1,canonical_representative,city,police,,2.422764,yes,likely_official,18,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-0906fc76e495e0b95391,NSCQ-IL-20260720-0178,VER-9a0f4b6072ccbe98289d,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_124967,124967,IL,Highland Park,CITY OF HIGHLAND PARK,https://icops.org/wp-content/uploads/Highland-Park-Patrol-Exp.-12-31-24.pdf,https://icops.org/wp-content/uploads/Highland-Park-Patrol-Exp.-12-31-24.pdf,"Agreement between THE CITY OF HIGHLAND PARK, ILLINOIS and ILLINOIS COUNCIL OF POLICE (January 1, 2022 – December 31, 2024)",cba,scheduled,reachable_pdf_or_document,application/pdf,https://icops.org/wp-content/uploads/Highland-Park-Patrol-Exp.-12-31-24.pdf,high_priority_later_verify,high,lane_1,URL-b9683f119cc3c6bf1c2c,1,canonical_representative,union,police,,2.422764,yes,likely_official,22,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-08e5e7c2d2edd4ff69d0,NSCQ-IL-20260720-0186,VER-523d5d00cb06b2aee158,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_162513,162513,IL,Edwardsville,CITY OF EDWARDSVILLE,https://www.cityofedwardsville.com/DocumentCenter/View/528,https://www.cityofedwardsville.com/DocumentCenter/View/528/2018-2021-Clerks-Agreement-FINAL?bidId=,"Collective Bargaining Agreement Between City of Edwardsville and Laborers’ International Union of North America Local 397 of Edwardsville, Illinois and Vicinity — on Behalf of the Employees of the City Clerk’s and Collector’s Offices",cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.cityofedwardsville.com/DocumentCenter/View/528/2018-2021-Clerks-Agreement-FINAL?bidId=,high_priority_later_verify,high,lane_1,URL-e93783e661514670b4ba,1,canonical_representative,city,non_safety,,2.422764,yes,likely_official,26,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-9d5af80f0f9106a36a1e,NSCQ-IL-20260720-0190,VER-8fffa541903048864175,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_194703,194703,IL,Ottawa,CITY OF OTTAWA,https://www.cityofottawa.org/DocumentCenter/View/135/Police-Benevolent-Labor-Committee--Collective-Bargaining-Agreement--May-1-2022-to-April-30-2025-PDF,https://www.cityofottawa.org/DocumentCenter/View/135/Police-Benevolent-Labor-Committee--Collective-Bargaining-Agreement--May-1-2022-to-April-30-2025-PDF,"Collective Bargaining Agreement Between the City of Ottawa, Illinois and the Police Benevolent Labor Committee (Patrol Officers and Sergeants of the Ottawa, Illinois Police Department) — 1 May 2022 to 30 April 2025",cba,scheduled,reachable_pdf_or_document,application/pdf,https://www.cityofottawa.org/DocumentCenter/View/135/Police-Benevolent-Labor-Committee--Collective-Bargaining-Agreement--May-1-2022-to-April-30-2025-PDF,high_priority_later_verify,high,lane_1,URL-479db89ca39c68d6b077,1,canonical_representative,city,police,,2.422764,yes,likely_official,30,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-96276a0d2b8766280edb,NSCQ-IL-20260720-0194,VER-38987876b59e2a8ae913,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_125027,125027,IL,Jacksonville,CITY OF JACKSONVILLE,https://cms6.revize.com/revize/jacksonvilleil/departments/human_resources/docs/399%20Operating%20Engineers%20W%26S%20CBA-01-01-23%20to%2012-31-26.pdf,https://cms6.revize.com/revize/jacksonvilleil/departments/human_resources/docs/399%20Operating%20Engineers%20W%26S%20CBA-01-01-23%20to%2012-31-26.pdf,399 Operating Engineers Water & Sewer CBA (01-01-23 to 12-31-26),cba,scheduled,reachable_pdf_or_document,application/pdf,https://cms6.revize.com/revize/jacksonvilleil/departments/human_resources/docs/399%20Operating%20Engineers%20W%26S%20CBA-01-01-23%20to%2012-31-26.pdf,high_priority_later_verify,high,lane_2,URL-376bd2bc12d8cf3a5be5,1,canonical_representative,city,non_safety,,2.422764,yes,likely_official,34,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
TRI-99f47e4d5266e8026dd3,NSCQ-IL-20260720-0200,VER-dc35ac7662544fe18708,VERIFICATION-SCALE-ROUND1-3X750-2026-07-23,cog_2025_125069,125069,IL,East Peoria,CITY OF EAST PEORIA,https://cityofeastpeoria.com/DocumentCenter/View/855/Fire-Contract-2019-2024-PDF?bidId=,https://cityofeastpeoria.com/DocumentCenter/View/855/Fire-Contract-2019-2024-PDF?bidId=,Fire-Contract-2019-2024-PDF (East Peoria Fire Fighters Contract 2019-2024),cba,scheduled,reachable_pdf_or_document,application/pdf,https://cityofeastpeoria.com/DocumentCenter/View/855/Fire-Contract-2019-2024-PDF?bidId=,high_priority_later_verify,high,lane_2,URL-566597be8e42078412fb,1,canonical_representative,city,fire,,2.422764,yes,likely_official,38,metadata_first_planned_not_reviewed,triage_planned,offline metadata-only planning; content not opened or reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,p1,metadata_review_only,unique_source,not_oversized,,,,
