scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,census_gov_id,county,population,government_name,prior_scout_covered_flag,newly_planned_this_wave_flag,unit_type_hint,occupation_group_hint,matched_safety_non_safety_opportunity_flag,source_family_query_family,source_family_diversification_reason,broad_geographic_target_reason,planned_search_query_family,planned_search_terms_redacted_or_sanitized,expected_source_family_hints,prior_candidate_overlap_flag,prior_seen_locator_risk_flag,target_quality_tier,target_inclusion_reason,expected_units_to_search,scout_purpose,search_hint_1,search_hint_2,search_hint_3,search_hint_4,search_hint_5,dry_run_status,live_status,verification_status,download_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
B4X1000-20260727-0001,broad_shard_001,1,IA,Midwest,Asbury,cog_2025_164379,164379,Dubuque County (19061; primary),6007,CITY OF ASBURY,false,true,broad_discovery_unspecified,police; fire; non_safety,false,agreements_mous_settlements,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal labor agreements memoranda settlements,cba; mou_or_memorandum; settlement_agreement,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Asbury"" IA municipal labor agreements MOU settlement","""Asbury"" IA arbitration award factfinding labor","""Asbury"" IA salary ordinance wage schedule pay plan","""Asbury"" IA civil service HR personnel compensation classification study","""Asbury"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0002,broad_shard_001,2,IA,Midwest,Carlisle,cog_2025_208072,208072,Warren County (19181; primary); Polk County (19153),4326,CITY OF CARLISLE,false,true,broad_discovery_unspecified,police; fire; non_safety,false,arbitration_factfinding,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal arbitration awards factfinding reports,arbitration_award; factfinding_report,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Carlisle"" IA municipal labor agreements MOU settlement","""Carlisle"" IA arbitration award factfinding labor","""Carlisle"" IA salary ordinance wage schedule pay plan","""Carlisle"" IA civil service HR personnel compensation classification study","""Carlisle"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0003,broad_shard_001,3,IA,Midwest,Clear Lake,cog_2025_190190,190190,Cerro Gordo County (19033; primary),7567,CITY OF CLEAR LAKE,false,true,broad_discovery_unspecified,police; fire; non_safety,false,salary_wage_schedules,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal salary ordinances wage schedules,salary_ordinance; wage_schedule,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Clear Lake"" IA municipal labor agreements MOU settlement","""Clear Lake"" IA arbitration award factfinding labor","""Clear Lake"" IA salary ordinance wage schedule pay plan","""Clear Lake"" IA civil service HR personnel compensation classification study","""Clear Lake"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0004,broad_shard_001,4,IA,Midwest,Denison,cog_2025_164357,164357,Crawford County (19047; primary),8114,CITY OF DENISON,false,true,broad_discovery_unspecified,police; fire; non_safety,false,budget_pay_plans,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal budget compensation pay plans,budget_or_pay_plan,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Denison"" IA municipal labor agreements MOU settlement","""Denison"" IA arbitration award factfinding labor","""Denison"" IA salary ordinance wage schedule pay plan","""Denison"" IA civil service HR personnel compensation classification study","""Denison"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0005,broad_shard_001,5,IA,Midwest,Eldridge,cog_2025_164556,164556,Scott County (19163; primary),6846,CITY OF ELDRIDGE,false,true,broad_discovery_unspecified,police; fire; non_safety,false,civil_service_hr_personnel,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal civil service HR pay personnel policies,civil_service_or_hr_pay_plan; personnel_policy,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Eldridge"" IA municipal labor agreements MOU settlement","""Eldridge"" IA arbitration award factfinding labor","""Eldridge"" IA salary ordinance wage schedule pay plan","""Eldridge"" IA civil service HR personnel compensation classification study","""Eldridge"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0006,broad_shard_001,6,IA,Midwest,Emmetsburg,cog_2025_164525,164525,Palo Alto County (19147; primary),3623,CITY OF EMMETSBURG,false,true,broad_discovery_unspecified,police; fire; non_safety,false,compensation_classification_studies,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal compensation classification studies,compensation_study; classification_study,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Emmetsburg"" IA municipal labor agreements MOU settlement","""Emmetsburg"" IA arbitration award factfinding labor","""Emmetsburg"" IA salary ordinance wage schedule pay plan","""Emmetsburg"" IA civil service HR personnel compensation classification study","""Emmetsburg"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0007,broad_shard_001,7,IA,Midwest,Garner,cog_2025_204471,204471,Hancock County (19081; primary),3035,CITY OF GARNER,false,true,broad_discovery_unspecified,police; fire; non_safety,false,agenda_minutes_pay_policy,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal agenda minutes attached pay policy records,agenda_packet_or_minutes; other_local_government_pay_policy,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Garner"" IA municipal labor agreements MOU settlement","""Garner"" IA arbitration award factfinding labor","""Garner"" IA salary ordinance wage schedule pay plan","""Garner"" IA civil service HR personnel compensation classification study","""Garner"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0008,broad_shard_001,8,IA,Midwest,Huxley,cog_2025_164572,164572,Story County (19169; primary),4634,CITY OF HUXLEY,false,true,broad_discovery_unspecified,police; fire; non_safety,false,broad_multi_source_crosscheck,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,official municipal labor pay document source index,all_controlled_local_government_pay_source_families,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Huxley"" IA municipal labor agreements MOU settlement","""Huxley"" IA arbitration award factfinding labor","""Huxley"" IA salary ordinance wage schedule pay plan","""Huxley"" IA civil service HR personnel compensation classification study","""Huxley"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0009,broad_shard_001,9,IA,Midwest,Iowa Falls,cog_2025_225355,225355,Hardin County (19083; primary),5002,CITY OF IOWA FALLS,false,true,broad_discovery_unspecified,police; fire; non_safety,false,agreements_mous_settlements,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal labor agreements memoranda settlements,cba; mou_or_memorandum; settlement_agreement,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Iowa Falls"" IA municipal labor agreements MOU settlement","""Iowa Falls"" IA arbitration award factfinding labor","""Iowa Falls"" IA salary ordinance wage schedule pay plan","""Iowa Falls"" IA civil service HR personnel compensation classification study","""Iowa Falls"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
B4X1000-20260727-0010,broad_shard_001,10,IA,Midwest,Jesup,cog_2025_193305,193305,Buchanan County (19019; primary); Black Hawk County (19013),2537,CITY OF JESUP,false,true,broad_discovery_unspecified,police; fire; non_safety,false,arbitration_factfinding,rotate broad public local-government labor and pay document families,unscouted municipality; state-balanced geographic expansion,broad_multi_source_family,municipal arbitration awards factfinding reports,arbitration_award; factfinding_report,false,false,strong_broad_geographic_target,priority=Tier 2; state_quota=87,police; fire; non_safety/general municipal; diverse wage-setting documents,broad_geographic_source_family_diverse_discovery,"""Jesup"" IA municipal labor agreements MOU settlement","""Jesup"" IA arbitration award factfinding labor","""Jesup"" IA salary ordinance wage schedule pay plan","""Jesup"" IA civil service HR personnel compensation classification study","""Jesup"" IA council agenda minutes attached labor pay policy",prepared_no_call,not_run,not_verified,not_downloaded,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Planning metadata only; include on coverage map only after a committed parseable live outcome.
