scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X1000-20260727-2001,broad_shard_003,1,IA,Midwest,Algona,cog_2025_208031,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2002,broad_shard_003,2,IA,Midwest,Charles City,cog_2025_204464,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2003,broad_shard_003,3,IA,Midwest,Cherokee,cog_2025_204460,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2004,broad_shard_003,4,IA,Midwest,Decorah,cog_2025_193325,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2005,broad_shard_003,5,IA,Midwest,Dyersville,cog_2025_164382,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2006,broad_shard_003,6,IA,Midwest,Hampton,cog_2025_164398,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2007,broad_shard_003,7,IA,Midwest,Humboldt,cog_2025_185390,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2008,broad_shard_003,8,IA,Midwest,Independence,cog_2025_164307,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2009,broad_shard_003,9,IA,Midwest,Jefferson,cog_2025_208017,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2010,broad_shard_003,10,IA,Midwest,Milford,cog_2025_164376,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2011,broad_shard_003,11,IA,Midwest,Oelwein,cog_2025_190196,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2012,broad_shard_003,12,IA,Midwest,Onawa,cog_2025_164506,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2013,broad_shard_003,13,IA,Midwest,Osage,cog_2025_126674,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2014,broad_shard_003,14,IA,Midwest,Osceola,cog_2025_208000,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2015,broad_shard_003,15,IA,Midwest,Rock Rapids,cog_2025_208037,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2016,broad_shard_003,16,IA,Midwest,Rock Valley,cog_2025_190210,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2017,broad_shard_003,17,IA,Midwest,Sergeant Bluff,cog_2025_104497,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2018,broad_shard_003,18,IA,Midwest,Sibley,cog_2025_164520,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2019,broad_shard_003,19,IA,Midwest,Sioux Center,cog_2025_185412,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2020,broad_shard_003,20,IA,Midwest,Tipton,cog_2025_164330,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2021,broad_shard_003,21,IA,Midwest,Waukon,cog_2025_193304,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2022,broad_shard_003,22,IA,Midwest,West Branch,cog_2025_164331,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2023,broad_shard_003,23,IL,Midwest,Bellwood,cog_2025_212211,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2024,broad_shard_003,24,IL,Midwest,Bradley,cog_2025_189930,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2025,broad_shard_003,25,IL,Midwest,Bridgeview,cog_2025_124882,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2026,broad_shard_003,26,IL,Midwest,Burr Ridge,cog_2025_162302,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2027,broad_shard_003,27,IL,Midwest,Cahokia Heights,cog_2025_250556,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2028,broad_shard_003,28,IL,Midwest,Canton,cog_2025_162329,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2029,broad_shard_003,29,IL,Midwest,Chicago Ridge,cog_2025_212493,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2030,broad_shard_003,30,IL,Midwest,Dixon,cog_2025_124979,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2031,broad_shard_003,31,IL,Midwest,East St. Louis,cog_2025_162604,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2032,broad_shard_003,32,IL,Midwest,Fox Lake,cog_2025_204285,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2033,broad_shard_003,33,IL,Midwest,Glen Carbon,cog_2025_102777,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2034,broad_shard_003,34,IL,Midwest,Herrin,cog_2025_102875,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2035,broad_shard_003,35,IL,Midwest,Highland,cog_2025_102778,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2036,broad_shard_003,36,IL,Midwest,Kewanee,cog_2025_189926,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2037,broad_shard_003,37,IL,Midwest,Lemont,cog_2025_207779,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2038,broad_shard_003,38,IL,Midwest,Rantoul,cog_2025_102580,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2039,broad_shard_003,39,IL,Midwest,Roscoe,cog_2025_102886,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2040,broad_shard_003,40,IL,Midwest,Shiloh,cog_2025_125056,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-2041,broad_shard_003,41,IL,Midwest,Sterling,cog_2025_125084,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
