municipality,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Asbury,IA,Midwest,Dubuque County (19061; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Carlisle,IA,Midwest,Warren County (19181; primary); Polk County (19153),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Clear Lake,IA,Midwest,Cerro Gordo County (19033; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Denison,IA,Midwest,Crawford County (19047; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Eldridge,IA,Midwest,Scott County (19163; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Emmetsburg,IA,Midwest,Palo Alto County (19147; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Garner,IA,Midwest,Hancock County (19081; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Huxley,IA,Midwest,Story County (19169; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Iowa Falls,IA,Midwest,Hardin County (19083; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Jesup,IA,Midwest,Buchanan County (19019; primary); Black Hawk County (19013),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Manchester,IA,Midwest,Delaware County (19055; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mitchellville,IA,Midwest,Polk County (19153; primary); Jasper County (19099),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Monticello,IA,Midwest,Jones County (19105; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
New Hampton,IA,Midwest,Chickasaw County (19037; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Orange City,IA,Midwest,Sioux County (19167; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Red Oak,IA,Midwest,Montgomery County (19137; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Sumner,IA,Midwest,Bremer County (19017; primary); Fayette County (19065),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Washington,IA,Midwest,Washington County (19183; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Waterloo,IA,Midwest,Black Hawk County (19013; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Wilton,IA,Midwest,Muscatine County (19139; primary); Cedar County (19031),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Windsor Heights,IA,Midwest,Polk County (19153; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Winterset,IA,Midwest,Madison County (19121; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Barrington,IL,Midwest,Cook County (17031; primary); Lake County (17097),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Bensenville,IL,Midwest,DuPage County (17043; primary); Cook County (17031),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Centralia,IL,Midwest,Marion County (17121; primary); Clinton County (17027); Jefferson County (17081); Washington County (17189),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Crest Hill,IL,Midwest,Will County (17197; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Crete,IL,Midwest,Will County (17197; primary); Cook County (17031),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Godfrey,IL,Midwest,Madison County (17119; primary),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Homewood,IL,Midwest,Cook County (17031; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Huntley,IL,Midwest,McHenry County (17111; primary); Kane County (17089),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Macomb,IL,Midwest,McDonough County (17109; primary),broad_shard_001,1,false,true,agenda_packet_or_minutes; other_local_government_pay_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mahomet,IL,Midwest,Champaign County (17019; primary),broad_shard_001,1,false,true,all_controlled_local_government_pay_source_families,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Midlothian,IL,Midwest,Cook County (17031; primary),broad_shard_001,1,false,true,cba; mou_or_memorandum; settlement_agreement,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Mount Vernon,IL,Midwest,Jefferson County (17081; primary),broad_shard_001,1,false,true,arbitration_award; factfinding_report,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Palos Hills,IL,Midwest,Cook County (17031; primary),broad_shard_001,1,false,true,salary_ordinance; wage_schedule,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Peru,IL,Midwest,LaSalle County (17099; primary); Bureau County (17011),broad_shard_001,1,false,true,budget_or_pay_plan,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Pontiac,IL,Midwest,Livingston County (17105; primary),broad_shard_001,1,false,true,civil_service_or_hr_pay_plan; personnel_policy,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
Prospect Heights,IL,Midwest,Cook County (17031; primary),broad_shard_001,1,false,true,compensation_study; classification_study,false,broad_multi_source_family,include only after a committed parseable live scout outcome,Planned municipality; not actual scout coverage.
