scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X1000-20260727-0001,broad_shard_001,1,IA,Midwest,Asbury,cog_2025_164379,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0002,broad_shard_001,2,IA,Midwest,Carlisle,cog_2025_208072,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0003,broad_shard_001,3,IA,Midwest,Clear Lake,cog_2025_190190,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0004,broad_shard_001,4,IA,Midwest,Denison,cog_2025_164357,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0005,broad_shard_001,5,IA,Midwest,Eldridge,cog_2025_164556,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0006,broad_shard_001,6,IA,Midwest,Emmetsburg,cog_2025_164525,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0007,broad_shard_001,7,IA,Midwest,Garner,cog_2025_204471,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0008,broad_shard_001,8,IA,Midwest,Huxley,cog_2025_164572,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0009,broad_shard_001,9,IA,Midwest,Iowa Falls,cog_2025_225355,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0010,broad_shard_001,10,IA,Midwest,Jesup,cog_2025_193305,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0011,broad_shard_001,11,IA,Midwest,Manchester,cog_2025_211327,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0012,broad_shard_001,12,IA,Midwest,Mitchellville,cog_2025_164534,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0013,broad_shard_001,13,IA,Midwest,Monticello,cog_2025_164458,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0014,broad_shard_001,14,IA,Midwest,New Hampton,cog_2025_190191,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0015,broad_shard_001,15,IA,Midwest,Orange City,cog_2025_164568,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0016,broad_shard_001,16,IA,Midwest,Red Oak,cog_2025_164512,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0017,broad_shard_001,17,IA,Midwest,Sumner,cog_2025_207994,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0018,broad_shard_001,18,IA,Midwest,Washington,cog_2025_164593,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0019,broad_shard_001,19,IA,Midwest,Waterloo,cog_2025_207992,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0020,broad_shard_001,20,IA,Midwest,Wilton,cog_2025_164516,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0021,broad_shard_001,21,IA,Midwest,Windsor Heights,cog_2025_164537,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0022,broad_shard_001,22,IA,Midwest,Winterset,cog_2025_126664,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0023,broad_shard_001,23,IL,Midwest,Barrington,cog_2025_162230,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0024,broad_shard_001,24,IL,Midwest,Bensenville,cog_2025_194715,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-0025,broad_shard_001,25,IL,Midwest,Centralia,cog_2025_162523,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
