state,region,actual_scout_covered_before_wave,planned_unique_municipalities,projected_covered_if_all_parseable,state_quota,planning_status
AK,West,23,87,110,87,planned_not_scouted
AL,South,27,87,114,87,planned_not_scouted
AR,South,26,87,113,87,planned_not_scouted
AZ,West,29,62,91,62,planned_not_scouted
CA,West,314,87,401,87,planned_not_scouted
CO,West,30,87,117,87,planned_not_scouted
CT,Northeast,34,87,121,87,planned_not_scouted
DC,South,1,0,1,0,no_defensible_unscouted_target_available
DE,South,17,39,56,39,planned_not_scouted
FL,South,154,87,241,87,planned_not_scouted
GA,South,20,87,107,87,planned_not_scouted
HI,West,1,0,1,0,no_defensible_unscouted_target_available
IA,Midwest,46,87,133,87,planned_not_scouted
ID,West,28,87,115,87,planned_not_scouted
IL,Midwest,133,86,219,86,planned_not_scouted
IN,Midwest,44,87,131,87,planned_not_scouted
KS,Midwest,35,87,122,87,planned_not_scouted
KY,South,26,87,113,87,planned_not_scouted
LA,South,34,87,121,87,planned_not_scouted
MA,Northeast,70,87,157,87,planned_not_scouted
MD,South,48,87,135,87,planned_not_scouted
ME,Northeast,29,87,116,87,planned_not_scouted
MI,Midwest,83,87,170,87,planned_not_scouted
MN,Midwest,92,86,178,86,planned_not_scouted
MO,Midwest,56,87,143,87,planned_not_scouted
MS,South,44,87,131,87,planned_not_scouted
MT,West,31,87,118,87,planned_not_scouted
NC,South,30,87,117,87,planned_not_scouted
ND,Midwest,20,87,107,87,planned_not_scouted
NE,Midwest,25,87,112,87,planned_not_scouted
NH,Northeast,23,87,110,87,planned_not_scouted
NJ,Northeast,87,87,174,87,planned_not_scouted
NM,West,42,63,105,63,planned_not_scouted
NV,West,18,1,19,1,planned_not_scouted
NY,Northeast,79,87,166,87,planned_not_scouted
OH,Midwest,338,87,425,87,planned_not_scouted
OK,South,25,87,112,87,planned_not_scouted
OR,West,79,87,166,87,planned_not_scouted
PA,Northeast,90,86,176,86,planned_not_scouted
RI,Northeast,18,21,39,21,planned_not_scouted
SC,South,18,87,105,87,planned_not_scouted
SD,Midwest,29,87,116,87,planned_not_scouted
TN,South,36,87,123,87,planned_not_scouted
TX,South,113,87,200,87,planned_not_scouted
UT,West,49,87,136,87,planned_not_scouted
VA,South,34,87,121,87,planned_not_scouted
VT,Northeast,18,87,105,87,planned_not_scouted
WA,West,100,87,187,87,planned_not_scouted
WI,Midwest,132,87,219,87,planned_not_scouted
WV,South,21,87,108,87,planned_not_scouted
WY,West,23,76,99,76,planned_not_scouted
