scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X1000-20260727-1001,broad_shard_002,1,IA,Midwest,Bloomfield,cog_2025_212010,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1002,broad_shard_002,2,IA,Midwest,Centerville,cog_2025_207991,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1003,broad_shard_002,3,IA,Midwest,Chariton,cog_2025_164482,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1004,broad_shard_002,4,IA,Midwest,Eagle Grove,cog_2025_126734,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1005,broad_shard_002,5,IA,Midwest,Estherville,cog_2025_126615,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1006,broad_shard_002,6,IA,Midwest,Glenwood,cog_2025_208045,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1007,broad_shard_002,7,IA,Midwest,Hiawatha,cog_2025_204476,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1008,broad_shard_002,8,IA,Midwest,Kalona,cog_2025_138246,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1009,broad_shard_002,9,IA,Midwest,Knoxville,cog_2025_208041,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1010,broad_shard_002,10,IA,Midwest,Le Claire,cog_2025_208061,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1011,broad_shard_002,11,IA,Midwest,Maquoketa,cog_2025_208028,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1012,broad_shard_002,12,IA,Midwest,Mount Vernon,cog_2025_164473,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1013,broad_shard_002,13,IA,Midwest,Perry,cog_2025_138210,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1014,broad_shard_002,14,IA,Midwest,Polk City,cog_2025_204483,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1015,broad_shard_002,15,IA,Midwest,Postville,cog_2025_204455,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1016,broad_shard_002,16,IA,Midwest,Robins,cog_2025_164475,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1017,broad_shard_002,17,IA,Midwest,Shenandoah,cog_2025_208050,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1018,broad_shard_002,18,IA,Midwest,Story City,cog_2025_201770,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1019,broad_shard_002,19,IA,Midwest,Tiffin,cog_2025_164455,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1020,broad_shard_002,20,IA,Midwest,Vinton,cog_2025_126563,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1021,broad_shard_002,21,IA,Midwest,Webster City,cog_2025_185388,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1022,broad_shard_002,22,IA,Midwest,West Liberty,cog_2025_164515,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1023,broad_shard_002,23,IL,Midwest,Alsip,cog_2025_204269,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1024,broad_shard_002,24,IL,Midwest,Antioch,cog_2025_194714,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1025,broad_shard_002,25,IL,Midwest,Bourbonnais,cog_2025_162410,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-1026,broad_shard_002,26,IL,Midwest,Cary,cog_2025_207830,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
