scout_target_id,shard_id,shard_sequence,state,region,municipality,municipality_id,source_family_query_family,target_quality_tier,dry_run_status,live_status
B4X1000-20260727-3001,broad_shard_004,1,IA,Midwest,Adel,cog_2025_212009,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3002,broad_shard_004,2,IA,Midwest,Albia,cog_2025_201769,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3003,broad_shard_004,3,IA,Midwest,Anamosa,cog_2025_164457,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3004,broad_shard_004,4,IA,Midwest,Atlantic,cog_2025_211248,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3005,broad_shard_004,5,IA,Midwest,Camanche,cog_2025_164350,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3006,broad_shard_004,6,IA,Midwest,Carter Lake,cog_2025_126693,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3007,broad_shard_004,7,IA,Midwest,Cascade,cog_2025_164380,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3008,broad_shard_004,8,IA,Midwest,Clarinda,cog_2025_164521,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3009,broad_shard_004,9,IA,Midwest,Clarion,cog_2025_208079,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3010,broad_shard_004,10,IA,Midwest,Cresco,cog_2025_164430,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3011,broad_shard_004,11,IA,Midwest,Creston,cog_2025_164582,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3012,broad_shard_004,12,IA,Midwest,DeWitt,cog_2025_138206,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3013,broad_shard_004,13,IA,Midwest,Evansdale,cog_2025_104340,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3014,broad_shard_004,14,IA,Midwest,Forest City,cog_2025_164606,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3015,broad_shard_004,15,IA,Midwest,Grundy Center,cog_2025_190197,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3016,broad_shard_004,16,IA,Midwest,Harlan,cog_2025_164560,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3017,broad_shard_004,17,IA,Midwest,Nevada,cog_2025_164574,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3018,broad_shard_004,18,IA,Midwest,Sheldon,cog_2025_126682,arbitration_factfinding,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3019,broad_shard_004,19,IA,Midwest,Spirit Lake,cog_2025_208011,salary_wage_schedules,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3020,broad_shard_004,20,IA,Midwest,Tama,cog_2025_164578,budget_pay_plans,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3021,broad_shard_004,21,IA,Midwest,Williamsburg,cog_2025_104407,civil_service_hr_personnel,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3022,broad_shard_004,22,IL,Midwest,Beach Park,cog_2025_212212,compensation_classification_studies,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3023,broad_shard_004,23,IL,Midwest,Bloomington,cog_2025_124994,agenda_minutes_pay_policy,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3024,broad_shard_004,24,IL,Midwest,Brookfield,cog_2025_162233,broad_multi_source_crosscheck,strong_broad_geographic_target,prepared_no_call,not_run
B4X1000-20260727-3025,broad_shard_004,25,IL,Midwest,Channahon,cog_2025_207875,agreements_mous_settlements,strong_broad_geographic_target,prepared_no_call,not_run
