span_extraction_id,rating_lane_id,stage,attempt,started_at,elapsed_seconds,status
CBSPAN-20260728-192582654e89d5cfacb5c654,rating_lane_001,live,1,2026-07-29T01:51:14.196506+00:00,2.667200,success
CBSPAN-20260728-70cec8375d4e79fcac32613f,rating_lane_001,live,1,2026-07-29T01:51:14.417882+00:00,2.198708,success
CBSPAN-20260728-481ae1b2457427401d87ba77,rating_lane_001,live,1,2026-07-29T01:51:14.417900+00:00,2.633334,success
CBSPAN-20260728-284d90c482ced0f472fae806,rating_lane_001,live,1,2026-07-29T01:51:14.417908+00:00,2.692443,success
CBSPAN-20260728-87061bb8cc3938d999e0b6f7,rating_lane_001,live,1,2026-07-29T01:51:14.417954+00:00,3.768615,success
CBSPAN-20260728-4e63d727ac1e330f43b103c9,rating_lane_001,live,1,2026-07-29T01:51:14.417963+00:00,2.458916,success
CBSPAN-20260728-8a3e4d6a8971664f5999fff8,rating_lane_001,live,1,2026-07-29T01:51:14.417973+00:00,2.398527,success
CBSPAN-20260728-2f7152d671bbf453a9291d58,rating_lane_001,live,1,2026-07-29T01:51:14.417981+00:00,2.247982,success
CBSPAN-20260728-4665e43d4ac46226e07f25b0,rating_lane_001,live,1,2026-07-29T01:51:14.417996+00:00,6.270213,success
CBSPAN-20260728-fd172be317b8a9588406ed51,rating_lane_001,live,1,2026-07-29T01:51:14.418000+00:00,5.321731,success
CBSPAN-20260728-58463383b52679ae09111a28,rating_lane_001,live,1,2026-07-29T01:51:14.418002+00:00,7.531147,success
CBSPAN-20260728-9f18afdb0b178030db2624fc,rating_lane_001,live,1,2026-07-29T01:51:14.418004+00:00,5.564653,success
CBSPAN-20260728-7093419ef33217a5092a351c,rating_lane_001,live,1,2026-07-29T01:51:14.418005+00:00,4.817890,success
CBSPAN-20260728-9094490b918c5560155037bf,rating_lane_001,live,1,2026-07-29T01:51:14.418006+00:00,4.506556,success
CBSPAN-20260728-9f809be1c76ae0a2d8183956,rating_lane_001,live,1,2026-07-29T01:51:14.418008+00:00,4.969530,success
CBSPAN-20260728-01e059eba51a665c896594ff,rating_lane_001,live,1,2026-07-29T01:51:14.418009+00:00,6.108081,success
CBSPAN-20260728-fac72a9ec1d680dacbcdaa5d,rating_lane_001,live,1,2026-07-29T01:51:14.418011+00:00,6.632761,success
CBSPAN-20260728-95b373c4a92ba882ed9be82e,rating_lane_001,live,1,2026-07-29T01:51:14.418012+00:00,7.747404,success
CBSPAN-20260728-a16fcd79395210e0d1156369,rating_lane_001,live,1,2026-07-29T01:51:14.418014+00:00,7.989500,success
CBSPAN-20260728-062895d988373444cd642a42,rating_lane_001,live,1,2026-07-29T01:51:14.418015+00:00,9.317628,success
CBSPAN-20260728-6e24e7fea9a652d1355712d6,rating_lane_001,live,1,2026-07-29T01:51:14.418017+00:00,8.206397,success
CBSPAN-20260728-9c8d82ca5ffd2d8ac9690ee0,rating_lane_001,live,1,2026-07-29T01:51:14.418018+00:00,8.783960,success
CBSPAN-20260728-24bf7be3100d214c02e14ea7,rating_lane_001,live,1,2026-07-29T01:51:14.418019+00:00,8.965754,success
CBSPAN-20260728-37f9277a1a48fedb4daa6375,rating_lane_001,live,1,2026-07-29T01:51:14.418020+00:00,9.317422,success
CBSPAN-20260728-41085764b55c9c47be087c40,rating_lane_001,live,1,2026-07-29T01:51:14.418022+00:00,10.314348,success
CBSPAN-20260728-25082c23a8dd18c3b268e975,rating_lane_001,live,1,2026-07-29T01:51:14.418023+00:00,10.082751,success
CBSPAN-20260728-7e787296a2a8fa3510214d08,rating_lane_001,live,1,2026-07-29T01:51:14.418024+00:00,10.240941,success
CBSPAN-20260728-6293c7f06126ef0bdadb0922,rating_lane_001,live,1,2026-07-29T01:51:14.418027+00:00,10.515283,success
CBSPAN-20260728-4ef20405c2c5a68749ebac2b,rating_lane_001,live,1,2026-07-29T01:51:14.418028+00:00,12.696222,success
CBSPAN-20260728-6566808891ef413ae5dcdd75,rating_lane_001,live,1,2026-07-29T01:51:14.418029+00:00,11.361723,success
CBSPAN-20260728-25a343c86baaf0fc44a2231e,rating_lane_001,live,1,2026-07-29T01:51:14.418031+00:00,11.924964,success
CBSPAN-20260728-3fc69254fa1ae96277fd0640,rating_lane_001,live,1,2026-07-29T01:51:14.418032+00:00,12.043682,success
CBSPAN-20260728-22eaed7cddc65805a476e58a,rating_lane_001,live,1,2026-07-29T01:51:27.143656+00:00,2.329666,success
CBSPAN-20260728-2d84ccbf61dbc0decdc8a1c2,rating_lane_001,live,1,2026-07-29T01:51:27.143712+00:00,2.747181,success
