span_extraction_id,source_candidate_id,rating_lane_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved,global_analysis_readiness
CBSPAN-20260728-9094490b918c5560155037bf,B4XPAR-20260727-006663,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-89e28822e72fba0b633e21eb,B4XPAR-20260727-003146,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-998b66d4e3412d5a40b17228,BSSC-20260727-00016,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-c099eab63c18d38bbb51202f,B4XPAR-20260727-002669,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-5b41bcea84c50e884fdf38bf,BSSC-20260727-00060,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-88fd98fe7e2485d746e70fe3,BSSC-20260727-00065,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-bcdb758dda17ba9acb5f110d,B4XPAR-20260727-003183,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-336bcc1133c738ecdcca95b8,B4XPAR-20260727-001435,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-d92180c56701ccc28591c4f7,B4XPAR-20260727-004998,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-e7db7fa01532a2fe504d7b15,B4XPAR-20260727-003254,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-5bf4aff3a2d231e35fa7c558,B4XPAR-20260727-003255,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-4d3cbe5e8b302980d0d28f96,B4XPAR-20260727-003252,rating_lane_001,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-aa5abc36a66f0fece45b6ca4,B4XPAR-20260727-006760,rating_lane_001,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
