mixed_join_key,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,quantitative_observation_ids,qualitative_observation_ids,quantitative_observation_count,qualitative_observation_count,confidence,reason_codes,qa_status
mix_54a3ee9374994163e92d810f,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,sr_dcae25c8b0630a7188cd55ee,NSCQ-AK-20260720-0001,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,police,cba,qobs_4d560df30b6a38d7f38351d0|qobs_67b0ac3d5ac5a2ea83d19275|qobs_3927f2ce7f61932d8c996d04|qobs_a92440905e9762cfdf93f485|qobs_1547f92c49fc4ce216b399eb,lobs_4d560df30b6a38d7f38351d0|lobs_67b0ac3d5ac5a2ea83d19275|lobs_3927f2ce7f61932d8c996d04|lobs_a92440905e9762cfdf93f485|lobs_1547f92c49fc4ce216b399eb,5,5,medium,OVERTIME_MULTIPLIER_AND_GUARANTEE_VALUES|SENIORITY_AND_FLSA_LOGIC_PRESENT|COMP_TIME_OFF_LEAVE_TREATMENT_PRESENT,provisional_unverified
mix_fc600f8ba250d050857f7134,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,lobs_cb78147efffe3fe28737b910|lobs_acd7d59aaab55c8d142375c6|lobs_24d4b840799b0808ad196e9e,5,3,medium,INCLUDED_VISIBLE_PACKAGE_RATE_TOKENS_FOR,provisional_unverified
mix_55016d540f544e1c8140a8bb,cex_2493343e2699ca44a4c9900d,doc_338a24240ab9e150cb615385,ttd_da31df639e8a22c336d5112e,sr_3cfa38419b6ac6da812bae2b,NSCQ-CA-20260720-0444,CA,Azusa,CITY OF AZUSA,police,cba,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,lobs_d3d573231a07293d94e2d104|lobs_a1f5ab1c333353c445d905c0|lobs_78dd4f542da8de769ba5a5cf,4,3,high,SEEN_BILINGUAL_PAY_AMOUNT_TOKEN|SEEN_CALLOUT_RATE_FORMULA_AND_MINIMUM|SEEN_CITY_PAID_DEFERRED_COMP_AMOUNTS|SEEN_BASE_PAY_PERCENT_INCREASE_TOKENS_BY,provisional_unverified
mix_48664e19d634124ddb26696e,cex_d406166f3aeabb43a6852065,doc_9f3568289105ee8b956b23d4,ttd_99e6ba85776a1f2420fbd4d5,sr_39e6c969a752873791a0e3e3,NSCQ-CA-20260720-0001,CA,Los Angeles,CITY OF LOS ANGELES,police,cba,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,lobs_a2fdc9862fc1a3a9b7a33b1b|lobs_cfb5017afdb19e60290fb8bf|lobs_93142156bf97edfe6f42cb48|lobs_338e88cb2650a1b8b1f233a5|lobs_ec1cf67774167199c9234357,4,5,medium,WC_VALUE_PRESENT_PARTIAL|MECHANISM_RULES_PRESENT_NO_NUMERIC_RATE,provisional_unverified
mix_88f5febfa870a64688cb2d1c,cex_90ffe48d7bf651cdfa804ac5,doc_e38ff010783e3c755acced5f,ttd_1eb66347e5bb26fe98f8aa28,sr_df3d4d20bc5668c5086613ca,NSCQ-CA-20260720-0551,CA,Marina,CITY OF MARINA,fire,cba,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,lobs_e2878efd99ade69579ddb328|lobs_bee9df8e14cc370642364b93,3,2,medium,EXTRACTED_FROM_PAGES_1_4_ONLY_VISIBLE_T0,provisional_unverified
mix_4e5113cfe26ddfa10ada5822,cex_ab58f60853f3f470ab7b4550,doc_487a2fad4c910cf13a48bca4,ttd_2f886c1a0fb600fc4bdd3276,sr_76bed5969ee1e8fe0e7e6b78,NSCQ-CA-20260720-0550,CA,Marina,CITY OF MARINA,non_safety,cba,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793|qobs_28d0eb2b0704b50c6dff5f04|qobs_9d0a3ae3960edef12c082109,lobs_2d1bb9c330f7c3edc69e1215|lobs_b89fb0f468027130bbed5921|lobs_c1019c04871341ec34958793,5,3,medium,EXTRACTED_VISIBLE_TOKENS_ONLY_FROM_BOUNE,provisional_unverified
mix_7c55b1f4101531d69e6afea4,cex_a34c43b943e92d4c5dfd1ec0,doc_a444aeaad6c83d9fa51e9fdb,ttd_2a55ee6b2c8223ef749fc72f,sr_a7f9d97071b761d1975ad5f8,NSCQ-CA-20260720-0155,CA,Murrieta,CITY OF MURRIETA,fire,cba,qobs_12675747f529cc22643d267a|qobs_358851fa61a74937ef101eb2|qobs_547013330eda6b674902b6ab|qobs_506590bed0fae04e37ec7b3c,lobs_12675747f529cc22643d267a|lobs_358851fa61a74937ef101eb2|lobs_547013330eda6b674902b6ab,4,3,medium,CITE_STANDBY_PAY_RATE_TOKEN|CITE_CALL_BACK_MIN_HOURS_AND_TIME_FACTOR|CITE_TRAVEL_TIME_FACTOR_1_5_AND_MAX_ONE_|CITE_WORKING_OUT_OF_CLASS_5_PERCENT|CITE_STANDBY_PAY_WINDOWS_AND_NO_LOSS_ON_|CITE_CALL_BACK_MINIMUM_RULE_AND_TRAVEL_H|CITE_WORKING_OUT_CLASS_DEFINITION_AND_5P,provisional_unverified
mix_e9bd92e4db4fe83fafff9c6c,cex_a95fed37613898243a98ab4a,doc_856748707fc652000dcc13c3,ttd_199f1cf48c7f8ee2f89ed77b,sr_2093e877de9b031d91d5d350,NSCQ-CA-20260720-0077,CA,Ontario,CITY OF ONTARIO,non_safety,cba,qobs_33e718fcd3de418ad213c676,lobs_33e718fcd3de418ad213c676,1,1,medium,GIVEN_HIGHER_CLASSIFICATION_PAY_IS_ONE_,provisional_unverified
mix_16f45dee45bdd4fdd7ebf66c,cex_1864b27ce7870f6f77773cd3,doc_da7485c1ac0e068460084041,ttd_8afee08ed60e90a39b47afa7,sr_78d3b225a23048dc9e1c1ed3,NSCQ-CA-20260720-0063,CA,Palo Alto,CITY OF PALO ALTO,non_safety,cba,qobs_f4c8960ae8fc8a0b331b8ed0,lobs_f4c8960ae8fc8a0b331b8ed0|lobs_a3c32b82733a2566f43c022b|lobs_a8812186313d91fc5f2b7011|lobs_c32d309c111767d6d81fe199|lobs_f71ca171d57602651348d3b3,1,5,medium,ONLY_COMPENSATION_ARTICLE_VI_SECTION_1_3,provisional_unverified
mix_4471176c86b03a4b9a24546f,cex_43e0f3541d71ad9b5fbacbcc,doc_79700c5b054859ffdfe4e289,ttd_533867202fd7a10fdf0ac4b0,sr_d16f4923de223f420aaaa691,NSCQ-CA-20260720-0061,CA,Palo Alto,CITY OF PALO ALTO,police,cba,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,lobs_f8f8f3683c7a28372b1c4a7b|lobs_f1ea1beee2c5092c170864bf|lobs_f5f787c624af2989a289e25f,5,3,medium,C1|C2|C3|C4|C5|Q1|Q2|Q3,provisional_unverified
