state,employee_groups_covered,police_fire_specific,teachers_covered,dpw_clerical_admin_covered,impasse_process_type,binding_interest_arbitration_available,compulsory_or_voluntary,primary_source_used,secondary_source_used,confidence,notes,project_implication
Massachusetts,"Police and fire (JLMC); all other public employees including teachers, DPW, clerical/admin (Ch. 150E Section 9)",yes,no,no,"Two-track: JLMC-ordered compulsory arbitration for police/fire; mediation plus advisory fact-finding plus rare voluntary arbitration for everyone else",yes for police/fire; technically yes but rare/voluntary-only for everyone else,compulsory (police/fire) / voluntary (everyone else),"Chapter 589 Acts of 1987 (JLMC); M.G.L. c.150E Section 9; Mass.gov DLR and JLMC pages",none needed,high,"Already independently verified three times in this project (teachers DPW clerical/admin) prior to this audit","Baseline case; confirms the project's own prior findings"
New Jersey,Police and fire,yes,not verified this session,not verified this session,"Conventional binding arbitration with 9 statutory criteria and an economic cap",yes,compulsory,"N.J.S.A. 34:13A-14 to -21 (Police and Fire Public Interest Arbitration Reform Act 1977 amended by P.L.2010 c.105); NJ PERC official page",none used,high for police/fire; non-safety comparison not verified,"Non-safety negative is inferred from statute's explicit title/scope, not directly confirmed","Confirms multi-state pattern for police/fire"
New York,Police and fire,yes,not verified this session (background knowledge suggests no),not verified this session,Tripartite-panel binding arbitration,yes,compulsory,"Civil Service Law Section 209.4 (Taylor Law 1974); NY State Senate official law text; PERB FAQ page","Empire Center for Public Policy (flagged as fiscally-conservative advocacy source for framing claims only)",high for police/fire; non-safety negative unverified,"Recent amendment requires heavier ability-to-pay weighting for fiscally eligible municipalities","Confirms multi-state pattern for police/fire"
Michigan,Police and fire,yes,not verified this session,not verified this session,Compulsory binding arbitration,yes,compulsory,"Public Act 312 of 1969, MCL 423.231 et seq.; Michigan Legislature official text",none used,high for police/fire; non-safety negative unverified,"Act 312 described as Michigan joining Rhode Island and Pennsylvania in this policy choice","Confirms multi-state pattern for police/fire"
Rhode Island,"Fire (Ch.28-9.1); municipal police (Ch.28-9.2); state police (Ch.28-9.5)",yes across three separate chapters,not confirmed this session -- possible separate chapter not ruled out,not verified this session,Binding arbitration for unresolved issues after bargaining,yes,compulsory (statutory right to arbitration as alternative to denied strike right),"R.I. Gen. Laws Ch.28-9.1 28-9.2 28-9.5; RI General Assembly official statute site",none used,high for the three confirmed chapters,"Most granular state found -- separate chapters for municipal police state police and fire; open question whether a teacher-specific chapter also exists","Confirms multi-state pattern; flags a follow-up question on teacher coverage"
Pennsylvania,Police and fire,yes,"not verified this session; background knowledge (unverified) suggests a limited strike right instead of arbitration for most non-safety public employees including teachers under a separate Public Employe Relations Act",not verified this session,"Binding arbitration, narrow judicial review only (jurisdiction regularity nonexistent-power constitutional-violation questions only)",yes,compulsory,"Act 111 of 1968, 43 P.S. Sections 217.1-217.10; PA General Assembly official text; PA appellate case law","Pennsylvania Municipal League (flagged as municipal-advocacy source for framing claims only)",high for police/fire; teacher strike-right claim explicitly unverified,"If confirmed, PA's non-safety trade-off (strike right instead of arbitration) would be structurally opposite to Massachusetts's no-strike model","High-value follow-up target given direct relevance to project's institutional-trade-off framing"
Wyoming,Fire fighters only,"yes for fire; no comparable police statute found this session",no,no,Bargaining plus arbitration for unresolved issues,yes for fire,compulsory (available on request when bargaining unresolved),"W.S. Sections 27-10-101 to 27-10-109 (Title 27 Labor and Employment Ch.10 Collective Bargaining for Fire Fighters); Wyoming Statutes via Justia aggregation of official text",none used,high for fire; police-specific equivalent not found (not confirmed absent),"Corrects an earlier bounded search that only found Wyoming's unrelated general Uniform Arbitration Act (Title 1 Ch.36)","Narrows the national scan's implied police-and-fire framing to fire-only for Wyoming specifically"
Oklahoma,Police and fire,yes,not verified this session,not verified this session,"Arbitration as the statutory alternative to a denied strike right",yes (core mechanism confirmed; full binding/compulsory mechanics not read in depth),compulsory in stated public-policy rationale,"Title 11 O.S. Section 51-101 et seq. (Fire and Police Arbitration Law); Oklahoma Statutes via Justia aggregation",none used,moderate-high for the core fact; full mechanics not verified in depth,"Reused from the original national-scan session's research; not re-searched this session",Confirms multi-state pattern for police/fire
Iowa,"All covered public employees including teachers, with narrower bargaining scope and different arbitration criteria for non-public-safety units since a 2017 reform",no -- general statute; safety-favoring asymmetry operates through bargaining scope and arbitration criteria rather than arbitration availability,yes directly,"presumed yes (general public-employee statute), not specifically verified for DPW/clerical-admin titles","Mediation then binding final-offer-selection arbitration if impasse persists 10 days, available on either party's request",yes for essentially all covered public employees,"compulsory in the sense that either party alone can trigger it once the statutory precondition is met","Iowa Code Ch.20 Section 20.22 (Binding arbitration); 2017 House File 291 enrolled text; Iowa Legislature official code archive",none used,high,"The clearest documented exception in this audit to non-safety-lacks-compulsory-arbitration; but the 2017 reform introduced its own safety-favoring asymmetry via bargaining scope (mostly wages only for non-safety units of less than 30% public-safety composition) and arbitration criteria (removed ability-to-pay and past-contract consideration added mandatory public/private wage comparison) for non-safety units specifically","Most consequential finding of this audit -- both confirms and adds nuance to the project's Iowa counterexample claim"
North Carolina,"All state and local public employees including teachers police and firefighters -- no exceptions",no -- prohibition applies uniformly including to police/fire,covered by the prohibition (no bargaining rights),covered by the prohibition (no bargaining rights),None -- collective bargaining agreements are void by statute,no (bargaining itself is prohibited),not applicable (bargaining prohibited),"G.S. 95-98 (1959); companion strike prohibition G.S. 95-98.1; North Carolina General Assembly official statute page",none used,high,"Enacted in 1959 following a Mecklenburg County police unionization attempt; one of the clearest most direct statutory findings in this audit","Confirms that in at least one state no CBA-based mechanism map is possible for any occupation safety or non-safety"
