mention_id,source_obs_id,source_corpus,source_type,home_state,home_city,comparator_state,comparator_city,occupation_class,safety_flag,cycle_start,cycle_end,document_date,verification_date,comparison_dimension,quote,page_or_section,extraction_method,confidence,notes
v9_som_spsoa_arlington,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Arlington,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_brookline,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Brookline,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_cambridge,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Cambridge,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_lowell,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Lowell,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_malden,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Malden,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_melrose,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Melrose,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_newton,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Newton,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_quincy,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Quincy,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spsoa_waltham,ma_somerville_police_spsoa_2012,causal,arbitration_award,MA,Somerville,MA,Waltham,police,1,2012-07-01,2018-06-30,not_available,2026-06-25,general_comparability,"Those communities chosen in the Collins Center classification study were Arlington, Brookline, Cambridge, Lowell, Malden, Melrose, Newton, Quincy, and Waltham.",estimated_page=55,gabriel_verified_excerpt,high,Separate edge created from one verified list excerpt.
v9_som_spea_boston,ma_somerville_police_spea_2012,causal,arbitration_award,MA,Somerville,MA,Boston,police,1,2012-07-01,2015-06-30,not_available,2026-06-25,wages,"The Union contends that Boston should be considered as comparable due to its close proximity, its population density, and the fact that it is faced with similar urban policing concerns. The Union argues that a review of its comparable communities shows that wages and benefits of Somerville Patrol Officers lag behind what is provided in these other communities.",estimated_page=58,gabriel_verified_excerpt,high,"The excerpt names one comparator city directly and ties it to wage-and-benefit comparison."
