span_extraction_id,source_candidate_id,rating_lane_id,failure_stage,attempt_count,last_status,error_type,error_code,quarantine_reason,raw_prompt_saved,raw_response_saved,global_analysis_readiness
CBSPAN-20260728-bb8ad6fa1652f26f6d2d86ee,B4XPAR-20260727-005240,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-88f706bde1b3b7106772fd0a,BSSC-20260727-01218,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-fa9079d4c70214c483534318,B4XPAR-20260727-002141,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-76732ae30c5ab14c05a30b1b,B4XPAR-20260727-005705,rating_lane_003,live,2,success,,lineage_id_changed,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-f624a6049a71f8b6c6f4ae12,BSSC-20260727-01228,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-f215acd47a5bae2fffd1222f,BSSC-20260727-01228,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-d1de47deacfaee4c8415c425,B4XPAR-20260727-004009,rating_lane_003,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-a6a4f85dec3384a2017a9fe3,B4XPAR-20260727-005714,rating_lane_003,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-905c4a30fbed9ca38e17c190,B4XPAR-20260727-004019,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,unsupported_rating_claim_relevance_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-35409b54442f85ee6641779f,B4XPAR-20260727-005732,rating_lane_003,live,2,success,,quote_not_exact_span_substring,persistent_transport_or_strict_validation_failure,false,false,false
CBSPAN-20260728-2fe0e5e02b48a831233eafbd,B4XPAR-20260727-005733,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-cb008d6fca85f576663ed7df,B4XPAR-20260727-000467,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,weak_family_strong_evidence_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-3fe656403a1334ed4e045993,BSSC-20260727-01253,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,unsupported_family_strength_invalid,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-1f05a1a833d05e8101aa6532,BSSC-20260727-01253,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
CBSPAN-20260728-3caf2ab5751d2625f0252b7d,B4XPAR-20260727-000477,rating_lane_003,coordinator_validation,1,success,StrictConsistencyError,claim_relevance_support_mismatch,strict_semantic_consistency_failure,false,false,false
