blocker_id,severity,status,affected_schema,evidence,analysis_risk,required_transformation,acceptance_test
B01,critical,open,non_base_wage,"Two occurrences each of source_quantitative_observation_id and source_mixed_join_key; duplicate copies currently agree on all rows","Dictionary CSV readers can silently discard lineage columns","Rename occurrences losslessly; preserve both raw values; assert equality before deriving canonical lineage fields","Unique header names; zero unexamined value disagreements; row/hash provenance map retained"
B02,critical,open,all_lanes_and_case_index,"Raw retained_content_hash absent; case index has only 1,826 opaque hash-derived document IDs","Cannot independently deduplicate or reconcile retained artifacts from analysis tables","Bridge raw hash deterministically from durable local IDs without mutating package; quarantine non-1:1 joins","1,826 one-to-one raw hashes; no nulls; no duplicate selected hashes; package hashes unchanged"
B03,critical,open,all_lanes,"matched_set_id negotiation_cycle_id and controlled occupation_class absent; contract period is blank on all quantitative/qualitative/non-base rows","Cannot implement city x cycle fixed comparison or precise non-safety occupation contrasts","Add deterministic city-unit-cycle and occupation mappings with source lineage; do not infer missing values","Every eligible analytical row has validated municipality unit occupation cycle and matched-set keys; ambiguous rows quarantined"
B04,critical,open,quantitative,"Only 1,176/1,907 active rows have an amount field; numeric columns contain ranges prose formulas percentages multipliers and hours; 194 compensation_type=other","Direct numeric use would mix concepts units and non-scalar strings","Keep raw values; add parsed min/max/value unit frequency annualization parse status and concept contract; quarantine ambiguous values","No numeric field accepts prose silently; every eligible value has concept/unit/parse status; raw text retained"
B05,major,open,all_lanes,"Authoritative status is distributed across provisional targeted-QA and readable-conflict-QA flags; inactive counts are 137 quantitative 16 mixed and 13 non-base","Analysts may select the wrong active flag or lose inactive provenance","Create a derived current_status/current_active view while preserving every historical flag and row","Derived status matches final flag exactly; inactive and duplicate provenance remains addressable"
B06,major,open,qualitative,"No dedicated verbatim_evidence_span field; 1,709/1,954 active rows remain provisional_unverified and 245 needs_review","Mechanism fields may be treated as final coded evidence without literal source text or sufficient QA","Define a verbatim-span requirement or keep rows navigation-only; retain bounded pointers and QA status","Promoted mechanism rows have literal evidence span/provenance and approved QA; others quarantined"
B07,major,open,mixed_and_qualitative,"371 active mixed joins validate; 50 active qualitative rows reference 16 inactive mixed rows and 20 rows reference five missing historical mixed keys","Historical provenance keys can be mistaken for active mixed membership","Preserve raw keys and derive mixed_membership_status plus current active join key","Every active row has active historical_inactive historical_missing or none status; active joins retain zero member errors"
B08,quarantine,open,quantitative,"Two unresolved groups and five member observations remain active and explicit","Ambiguous observations could enter outcome calculations","Exclude from analysis views and publish unchanged in an exception register; do not infer distinctions","Exactly two groups and five members quarantined; original rows and pointers unchanged"
B09,major,open,non_base_wage,"904/4,733 active rows are non_base_wage_type=other","Broad other bucket is not interpretable as a typed benefits/premium outcome","Retain with reason code; deterministically subtype when supported or exclude from typed analysis","No other row enters a typed outcome without explicit subtype and provenance"
B10,critical,open,all_lanes,"Lane rows contain source/detection IDs but not self-contained source cite retrieval date retrieval method source corpus or raw retained hash","Analysis export would not meet the project's provenance contract without joins","Create a validated provenance bridge from durable local ledgers; preserve IDs and reject one-to-many ambiguity","All eligible analysis rows have required provenance fields or are quarantined; no durable ledger mutation"
B11,major,open,reference_and_exclusion,"345 control rows include 256 exclude 82 reference-only and seven second-review; 314 have bounded pointers","Control records could be confused with compensation outcomes","Keep as audit/control lane only; retain missing-pointer reason codes","Zero reference/exclusion rows in wage or mechanism outcome views"
